
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       7.41
8                       7.09
16                      7.09
32                      7.21
64                      7.50
128                     9.79
256                    10.22
512                    10.89
1024                   12.61
2048                   14.98
4096                   20.43
8192                   39.87
16384                 102.45
32768                 107.08
65536                 133.32
131072                184.63
262144                596.92
524288                780.32
1048576              1438.24
2097152              2809.63
4194304              4901.11
8388608             11565.47
16777216            31109.95
33554432            56012.32
67108864           118993.27
134217728          254474.91
268435456          526282.43
536870912         1022997.77
