
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              5555.69
41000000           151227.94
81000000           294285.08
121000000          428080.11
161000000          582411.11
201000000          735258.86
241000000          913325.60
281000000         1009900.52
321000000         1162560.46
361000000         1280692.56
401000000         1440784.79
441000000         1644454.86
481000000         1703563.88
521000000         1930637.85
561000000         2035007.33
601000000         2160080.35
641000000         2341011.39
681000000         2618801.09
721000000         2652631.74
761000000         2815731.05
801000000         2897186.61
841000000         3052119.37
881000000         3265809.64
921000000         3379399.54
961000000         3407163.31
1001000000        3543401.98
