
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                  197.13
8000                  209.37
12000                1289.13
16000                1366.86
20000                1841.51
24000                1723.15
28000                1956.30
32000                1775.93
36000                1725.41
40000                1715.51
44000                1726.97
48000                1902.04
52000                2814.97
56000                2085.57
60000                1943.88
64000                2276.07
68000                1947.29
72000                2334.77
76000                2021.92
80000                2037.22
84000                2022.55
88000                4290.79
92000                2218.47
96000                2058.96
100000               2186.22
104000               2091.16
108000               2108.71
112000               2087.96
116000               2449.90
120000               2133.17
124000               2162.83
128000               2158.71
132000               2084.51
136000               2708.97
140000               2145.93
144000               3060.71
148000               2144.19
152000               2180.45
156000               2112.31
160000               2468.13
164000               2212.74
168000               4083.05
172000               2621.71
176000               2226.71
180000               2609.12
184000               2258.29
188000               2276.97
192000               2638.06
196000               2273.39
200000               2278.24
204000               2279.63
208000               2374.66
212000               2544.03
216000               2328.87
220000               2508.65
224000               2391.89
228000               2411.82
232000               2443.55
236000               2481.81
240000               2661.76
244000               2856.62
248000               2491.87
252000               2480.89
256000               2505.88
260000               2512.86
264000               2580.76
268000               2818.09
272000               3065.93
276000               2559.83
280000               2860.03
284000               2655.91
288000               2705.98
292000               2721.61
296000               2702.36
300000               2689.06
304000               3101.58
308000               2737.26
312000               2797.75
316000               2817.89
320000               2776.76
324000               2796.94
328000               2843.25
332000               3136.19
336000               3967.76
340000               3181.06
344000               2810.68
348000               2867.98
352000               2973.46
356000               3284.71
360000               2893.09
364000               3263.52
368000               2866.81
372000               3949.19
376000               3587.67
380000               3098.82
384000               3561.18
388000               2926.77
392000               2960.10
396000               3289.08
400000               2973.04
404000               3011.06
408000               3295.55
412000               3285.65
416000               3157.50
420000               4507.63
424000               4986.88
428000               3518.00
432000               3084.14
436000               3401.76
440000               3158.12
444000               3131.31
448000               3181.78
452000               3140.35
456000               3165.64
460000               3708.54
464000               3341.46
468000               3234.65
472000               3927.04
476000               3227.54
480000               3234.78
484000               4127.46
488000               5596.70
492000               3511.78
496000               3517.78
500000               3614.39
504000               3749.17
508000               4305.56
512000               3665.64
516000               3629.09
520000               3541.57
524000               3633.13
528000               3589.50
532000               3822.70
536000               3573.94
540000               3812.33
544000               3653.54
548000               3649.57
552000               5058.44
556000               3885.75
560000               3688.53
564000               5522.82
568000               3678.40
572000               4760.63
576000               3656.99
580000               3720.32
584000               4220.68
588000               3808.17
592000               3980.56
596000               4023.08
600000               3990.37
604000               3822.56
608000               4079.55
612000               3884.58
616000               3927.38
620000               3926.84
624000               4255.79
628000               5179.55
632000               3880.62
636000               3885.97
640000               3865.68
644000               3919.93
648000               3889.85
652000               3928.19
656000               4473.69
660000               5819.90
664000               4596.13
668000               4457.31
672000               3919.72
676000               4316.29
680000               6610.08
684000               5347.11
688000               4966.59
692000               3977.31
696000               7095.21
700000               4374.54
704000               4078.13
708000               4503.71
712000               4028.00
716000               4959.31
720000               4784.37
724000               4341.40
728000               4388.17
732000               5399.53
736000               4493.15
740000               4377.07
744000               4118.36
748000               4486.62
752000               4069.01
756000               4765.40
760000               4702.46
764000               4041.11
768000               4180.31
772000               5254.21
776000               4661.35
780000               4169.38
784000               4217.73
788000               4221.50
792000               4375.59
796000               6151.28
800000               4297.44
804000               7107.03
808000               4304.41
812000               4304.31
816000               4383.14
820000               4614.56
824000               4229.61
828000               4398.40
832000               5321.03
836000               4619.09
840000               4365.61
844000               4940.46
848000               4750.58
852000               4349.87
856000               4369.44
860000               4526.29
864000               4379.60
868000               4360.79
872000               4375.67
876000               4426.28
880000               4585.39
884000               4445.74
888000               4751.07
892000               4629.23
896000               4493.26
900000               7201.84
904000               7204.83
908000               4715.71
912000               4625.68
916000               4639.97
920000               6870.77
924000               5222.21
928000               4942.42
932000               4696.61
936000               4679.58
940000               6376.64
944000               4590.11
948000               7175.05
952000               4734.52
956000               4752.06
960000               4571.51
964000               4688.78
968000               4664.47
972000               5320.78
976000               7128.38
980000               5658.45
984000               5276.27
988000               5078.85
992000               4774.39
996000               7016.81
1000000              4745.15
1004000              5826.29
1008000              5882.10
1012000              5825.49
1016000              8015.10
1020000              5126.64
1024000              6133.99
