# OSU MPI Latency Test v5.7
# Size          Latency (us)
0                      24.60
1                      22.10
2                      21.85
4                      21.18
8                      21.14
16                     21.37
32                     21.52
64                     21.79
128                    21.96
256                    30.13
512                    23.81
1024                   53.03
2048                   81.78
4096                   80.42
8192                   81.90
16384                  80.81
32768                  84.14
65536                 205.37
131072                226.13
262144                362.99
524288                598.54
1048576              1062.94
2097152              1955.54
4194304              3795.97
