# OSU MPI Latency Test v5.7
# Size          Latency (us)
4000000              1111.98
5048576              1440.78
6097152              1737.06
7145728              2214.10
8194304              2589.15
9242880              2611.67
10291456             3009.60
11340032             3352.61
12388608             3777.53
13437184             3797.91
14485760             4408.09
15534336             4637.35
16582912             4695.56
17631488             4991.27
18680064             5365.08
19728640             5683.82
20777216             6059.27
21825792             6846.77
22874368             6629.91
23922944             6709.03
24971520             7011.40
26020096             7463.94
27068672             7575.50
28117248             7964.18
29165824             8535.49
30214400             8775.61
31262976             9088.68
32311552             9628.43
33360128             9285.95
34408704             9693.84
35457280            10090.73
36505856            10450.80
37554432            10987.49
38603008            11513.55
39651584            11485.40
40700160            11300.10
41748736            12671.80
42797312            12824.35
43845888            13018.54
44894464            12753.95
45943040            13616.72
46991616            14156.49
48040192            14632.01
49088768            14192.35
50137344            15250.63
51185920            14817.71
52234496            14558.25
53283072            15594.84
54331648            15937.49
55380224            15537.40
56428800            16196.20
57477376            17631.78
58525952            16895.70
59574528            18275.43
60623104            17759.16
61671680            17893.48
62720256            18311.38
63768832            18613.08
64817408            19029.45
65865984            19031.98
66914560            18913.18
67963136            20238.57
69011712            19768.13
70060288            19917.24
71108864            20646.88
72157440            20118.80
73206016            21783.66
74254592            21403.97
75303168            22815.87
76351744            21518.39
77400320            22312.54
78448896            22851.51
79497472            23077.75
80546048            24083.01
81594624            23819.44
82643200            23894.34
83691776            24109.30
84740352            25257.79
85788928            25016.95
86837504            25357.64
87886080            24812.56
88934656            26443.09
89983232            26155.80
91031808            26673.60
92080384            26485.16
93128960            28365.00
94177536            27252.27
95226112            27587.14
96274688            27863.08
97323264            28001.84
98371840            29171.38
99420416            29571.86
100468992           29511.38
101517568           28742.16
102566144           29068.15
103614720           29688.12
104663296           30630.34
105711872           31401.29
106760448           30485.79
107809024           31857.09
108857600           31533.13
109906176           31452.66
110954752           32563.83
112003328           33129.07
113051904           33311.60
114100480           33455.93
115149056           33205.88
116197632           34712.20
117246208           34717.75
118294784           35474.94
119343360           34371.04
120391936           35665.16
121440512           35830.97
122489088           35896.53
123537664           35779.70
124586240           36706.02
125634816           36452.20
126683392           36522.20
127731968           37407.62
128780544           37787.05
129829120           38308.94
130877696           37482.96
131926272           38645.68
132974848           38685.72
134023424           39959.20
135072000           39288.23
136120576           39188.39
137169152           40634.36
138217728           40517.08
139266304           40569.10
140314880           40047.71
141363456           41222.78
142412032           41360.04
143460608           42529.32
144509184           42127.68
145557760           43872.39
146606336           42643.03
147654912           43445.86
148703488           44231.50
149752064           43131.60
150800640           44498.10
151849216           43809.56
152897792           43983.89
153946368           44755.93
154994944           44978.52
156043520           45470.52
157092096           45430.35
158140672           46999.29
159189248           47126.13
160237824           46297.19
161286400           46782.41
162334976           46498.99
163383552           48148.55
164432128           47548.26
165480704           47810.22
166529280           49411.44
167577856           48900.00
168626432           49492.40
169675008           47666.18
170723584           48814.42
171772160           49638.82
172820736           52805.15
173869312           49501.85
174917888           50888.73
175966464           50898.50
177015040           51251.77
178063616           53937.49
179112192           51774.54
180160768           52915.10
181209344           53358.83
182257920           52889.76
183306496           52556.29
184355072           53548.43
185403648           53924.56
186452224           54482.03
187500800           54068.37
188549376           54200.12
189597952           54950.98
190646528           54697.66
191695104           56335.46
192743680           56854.96
193792256           56040.69
194840832           56387.07
195889408           55979.29
196937984           57101.57
197986560           56653.64
199035136           57716.90
200083712           58006.15
201132288           58752.31
202180864           59027.93
203229440           57643.05
204278016           58645.30
205326592           59209.44
206375168           60632.75
207423744           59934.65
208472320           59742.96
209520896           60018.92
210569472           60322.72
211618048           61958.67
212666624           60974.50
213715200           61904.76
214763776           61943.04
215812352           62387.07
216860928           61836.27
217909504           62866.11
218958080           62849.23
220006656           62685.24
221055232           64680.94
222103808           64211.34
223152384           63866.18
224200960           63655.41
225249536           66112.19
226298112           64872.43
227346688           64924.18
228395264           66807.19
229443840           65499.13
230492416           66170.54
231540992           65764.78
232589568           66604.99
233638144           68741.95
234686720           67479.77
235735296           69977.73
236783872           68084.13
237832448           68397.10
238881024           69825.12
239929600           69870.46
240978176           71112.30
242026752           71366.60
243075328           70673.73
244123904           70909.68
245172480           71226.75
246221056           70508.82
247269632           72108.44
248318208           71753.53
249366784           72721.01
250415360           71935.70
251463936           72574.10
252512512           73306.39
253561088           73107.58
254609664           73090.63
255658240           75194.44
256706816           73843.73
257755392           75280.39
258803968           74027.99
259852544           75569.98
260901120           75261.83
261949696           74843.67
262998272           77351.95
264046848           76299.61
265095424           77170.43
266144000           76942.71
267192576           78413.48
268241152           79280.66
269289728           77545.10
270338304           77552.55
271386880           77157.72
272435456           77171.12
273484032           78225.83
274532608           78385.25
275581184           80063.90
276629760           79419.70
277678336           80266.29
278726912           79406.33
279775488           79789.87
280824064           80311.10
281872640           81368.19
282921216           82371.92
283969792           82939.07
285018368           81009.84
286066944           83002.99
287115520           83325.24
288164096           84176.73
289212672           83801.55
290261248           82932.05
291309824           84442.36
292358400           83258.37
293406976           83326.67
294455552           84275.78
295504128           85256.22
296552704           86756.24
297601280           85390.16
298649856           86146.60
299698432           87864.00
300747008           86513.95
301795584           86005.79
302844160           88016.31
303892736           86353.17
304941312           87268.30
305989888           87795.50
307038464           89706.46
308087040           87637.57
309135616           88129.44
310184192           89226.51
311232768           91731.60
312281344           91602.27
313329920           92267.85
314378496           91467.74
315427072           90403.99
316475648           93348.24
317524224           90894.26
318572800           92841.42
319621376           93872.56
320669952           92669.18
321718528           92012.33
322767104           92499.94
323815680           92742.42
324864256           94882.65
325912832           93887.47
326961408           93453.35
328009984           94312.13
329058560           94222.50
330107136           95775.25
331155712           96388.03
332204288           95074.47
333252864           96560.94
334301440           97504.08
335350016           97029.49
336398592           97864.66
337447168           98460.26
338495744           96890.93
339544320           96985.70
340592896           98648.07
341641472           99786.37
342690048           98120.31
343738624           99079.54
344787200           98821.83
345835776           99242.36
346884352           99457.12
347932928          102735.65
348981504           99911.49
350030080          100317.20
351078656          101830.02
352127232          103025.12
353175808          100441.00
354224384          100914.09
355272960          102601.02
356321536          103464.54
357370112          103150.77
358418688          103568.08
359467264          104424.90
360515840          103036.44
361564416          103424.68
362612992          104841.67
363661568          105055.06
364710144          105484.97
365758720          105319.57
366807296          107016.24
367855872          106680.28
368904448          106448.70
369953024          106303.74
371001600          108027.79
372050176          108077.21
373098752          108132.63
374147328          108592.45
375195904          109945.06
376244480          107498.41
377293056          111665.76
378341632          108439.85
379390208          109101.13
380438784          109899.51
381487360          110051.13
382535936          111513.65
383584512          111850.17
384633088          111290.71
385681664          109704.41
386730240          112244.17
387778816          111837.12
388827392          112299.79
389875968          112681.91
390924544          111381.09
391973120          112620.30
393021696          113147.77
394070272          115240.19
395118848          113294.22
396167424          115623.24
397216000          117001.42
398264576          115198.39
399313152          113588.81
400361728          115570.12
401410304          116403.47
402458880          115679.97
403507456          116382.83
404556032          118168.51
405604608          118622.07
406653184          116479.91
407701760          118012.05
408750336          117155.03
409798912          116530.91
410847488          117699.49
411896064          119077.14
412944640          119507.26
413993216          121220.73
415041792          121242.86
416090368          121175.46
417138944          120802.04
418187520          121090.17
419236096          121411.31
420284672          121535.88
421333248          124608.93
422381824          122436.26
423430400          122894.60
424478976          122583.22
425527552          126135.72
426576128          122052.81
427624704          124152.38
428673280          124820.83
429721856          123592.82
430770432          126244.06
431819008          126328.39
432867584          125495.76
433916160          125294.42
434964736          125696.79
436013312          126922.09
437061888          125614.79
438110464          125406.19
439159040          127586.42
440207616          128176.22
441256192          128131.53
442304768          129073.47
443353344          127548.05
444401920          128855.83
445450496          130624.54
446499072          129769.93
447547648          129965.78
448596224          131187.25
449644800          133345.37
450693376          130575.55
451741952          132734.24
452790528          129374.49
453839104          129344.13
454887680          132231.12
455936256          135085.32
456984832          134632.51
458033408          132128.68
459081984          132955.59
460130560          135679.95
461179136          133202.65
462227712          134346.17
463276288          136406.21
464324864          133567.08
465373440          135707.19
466422016          136459.27
467470592          135278.40
468519168          135257.52
469567744          138155.29
470616320          136567.39
471664896          137219.06
472713472          136564.86
473762048          137861.99
474810624          136799.97
475859200          136458.21
476907776          136521.64
477956352          139370.43
479004928          138864.88
480053504          138138.32
481102080          138715.53
482150656          141262.04
483199232          141323.82
484247808          141105.94
485296384          141713.74
486344960          141463.42
487393536          142632.50
488442112          140604.25
489490688          141673.81
490539264          142276.15
491587840          144446.10
492636416          142880.56
493684992          142654.74
494733568          143021.17
495782144          144271.01
496830720          144119.26
497879296          145023.67
498927872          144422.98
499976448          145409.59
501025024          145408.50
502073600          148235.88
503122176          145813.44
504170752          148722.63
505219328          145657.52
506267904          145979.08
507316480          146492.82
508365056          149842.55
509413632          148772.37
510462208          148655.19
511510784          148230.66
