# OSU MPI Latency Test v5.7
# Size          Latency (us)
4                       0.34
36                      0.35
68                      0.33
100                     0.33
132                     0.35
164                     0.38
196                     0.39
228                     0.40
260                     0.50
292                     0.50
324                     0.50
356                     0.52
388                     0.51
420                     0.51
452                     0.52
484                     0.55
516                     0.53
548                     0.53
580                     0.53
612                     0.56
644                     0.54
676                     0.55
708                     0.56
740                     0.58
772                     0.57
804                     0.58
836                     0.58
868                     0.60
900                     0.59
932                     0.60
964                     0.60
996                     0.62
1028                    0.60
1060                    0.61
1092                    0.60
1124                    0.63
1156                    0.63
1188                    0.62
1220                    0.62
1252                    0.65
1284                    0.66
1316                    0.65
1348                    0.68
1380                    0.70
1412                    0.69
1444                    0.69
1476                    0.70
1508                    0.72
1540                    0.71
1572                    0.75
1604                    0.91
1636                    0.88
1668                    0.84
1700                    0.84
1732                    0.70
1764                    0.72
1796                    0.73
1828                    0.82
1860                    0.88
1892                    0.77
1924                    0.76
1956                    0.90
1988                    0.90
2020                    0.82
2052                    0.78
2084                    0.78
2116                    0.79
2148                    0.81
2180                    0.90
2212                    1.00
2244                    1.08
2276                    0.87
2308                    0.83
2340                    0.83
2372                    0.83
2404                    0.86
2436                    0.85
2468                    0.85
2500                    0.86
2532                    0.88
2564                    0.86
2596                    0.86
2628                    0.87
2660                    0.90
2692                    0.88
2724                    0.88
2756                    0.88
2788                    0.91
2820                    0.90
2852                    0.89
2884                    0.91
2916                    0.91
2948                    0.92
2980                    0.91
3012                    0.94
3044                    0.93
3076                    0.95
3108                    0.94
3140                    0.96
3172                    0.98
3204                    0.97
3236                    0.97
3268                    0.98
3300                    1.00
3332                    0.99
3364                    0.99
3396                    1.00
3428                    1.02
3460                    1.00
3492                    1.01
3524                    1.01
3556                    1.04
3588                    1.03
3620                    1.03
3652                    1.04
3684                    1.07
3716                    1.04
3748                    1.05
3780                    1.05
3812                    1.08
3844                    1.06
3876                    1.07
3908                    1.07
3940                    1.11
3972                    1.08
