# OSU MPI_Get latency Test v5.7
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.16
2                       0.16
4                       0.16
8                       0.18
16                      0.17
32                      0.17
64                      0.19
128                     0.18
256                     0.19
512                     0.20
1024                    0.23
2048                    0.28
4096                    0.38
8192                    0.65
16384                   1.78
32768                   3.57
65536                   6.83
131072                 22.68
262144                 52.32
524288                105.16
1048576               214.90
2097152               244.50
4194304               771.87
8388608              2944.71
16777216             6438.59
33554432            13231.31
67108864            26301.10
134217728           53124.51
268435456          107924.17
