
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   22.20
8000                   32.05
12000                  92.52
16000                  96.49
20000                  97.51
24000                  96.20
28000                 100.45
32000                 103.17
36000                 161.21
40000                 199.15
44000                 121.63
48000                 122.80
52000                 126.80
56000                 141.83
60000                 129.94
64000                 140.31
68000                 145.11
72000                 143.35
76000                 146.71
80000                 151.21
84000                 155.46
88000                 161.68
92000                 160.79
96000                 164.59
100000                164.57
104000                167.88
108000                170.45
112000                176.07
116000                176.50
120000                185.64
124000                204.37
128000                192.94
132000                196.43
136000                198.82
140000                200.64
144000                205.34
148000                212.02
152000                211.66
156000                216.14
160000                230.86
164000                216.81
168000                230.75
172000                229.86
176000                232.95
180000                235.23
184000                239.12
188000                239.27
192000                254.57
196000                470.76
200000                373.40
204000                361.13
208000                374.74
212000                522.67
216000                391.94
220000                372.25
224000                543.67
228000                442.36
232000                391.59
236000                395.35
240000                405.90
244000                576.45
248000                431.48
252000                412.17
256000                500.03
260000                432.36
264000                430.10
268000                436.83
272000                541.73
276000                436.64
280000                436.32
284000                642.78
288000                441.02
292000                437.20
296000                481.13
300000                664.77
304000                476.32
308000                465.40
312000                474.52
316000                466.97
320000                469.72
324000                723.91
328000                513.57
332000                477.35
336000                483.41
340000                502.30
344000                495.91
348000                508.85
352000                519.63
356000                521.68
360000                536.54
364000                536.63
368000                524.48
372000                517.84
376000                541.21
380000                751.36
384000                541.43
388000                740.13
392000                558.72
396000                555.61
400000                569.34
404000                597.69
408000                586.05
412000                588.65
416000                591.26
420000                753.28
424000                619.86
428000                587.34
432000                591.95
436000                621.77
440000                654.06
444000                642.56
448000                639.41
452000                644.88
456000                649.85
460000                644.95
464000                659.60
468000                658.24
472000                642.17
476000                646.66
480000                918.66
484000                678.73
488000                687.47
492000                694.17
496000                710.77
500000                678.08
504000                726.73
508000                711.19
512000                709.62
516000                826.07
520000                749.77
524000                760.23
528000                760.08
532000                758.79
536000                722.53
540000                759.26
544000                751.96
548000                737.07
552000                766.19
556000                770.58
560000                838.83
564000                845.07
568000                817.58
572000               1024.25
576000                829.60
580000                787.92
584000               1144.82
588000               1100.91
592000                947.99
596000                852.43
600000                862.51
604000                868.19
608000               1054.53
612000               1098.71
616000                856.21
620000                874.99
624000                885.45
628000                902.24
632000                984.81
636000                900.50
640000                878.09
644000                878.45
648000               1273.52
652000                953.86
656000                975.32
660000                944.83
664000                930.62
668000                945.52
672000                914.52
676000                953.99
680000                983.16
684000                999.70
688000                973.50
692000               1123.24
696000                984.56
700000                963.72
704000               1002.21
708000               1022.36
712000               1050.88
716000               1031.75
720000                991.84
724000               1066.71
728000               1003.99
732000               1059.65
736000               1085.03
740000               1096.20
744000               1102.26
748000               1065.48
752000               1066.16
756000               1068.09
760000               1099.44
764000               1229.95
768000               1133.05
772000               1086.47
776000               1133.09
780000               1088.86
784000               1130.62
788000               1222.81
792000               1559.81
796000               1266.48
800000               1158.25
804000               1245.72
808000               1172.36
812000               1219.52
816000               1193.05
820000               1199.85
824000               1253.14
828000               1312.45
832000               1247.03
836000               1422.14
840000               1178.45
844000               1211.82
848000               1220.56
852000               1280.97
856000               1270.20
860000               1245.80
864000               1261.86
868000               1212.23
872000               1284.35
876000               1314.41
880000               1324.79
884000               1266.71
888000               1293.93
892000               1305.13
896000               1378.07
900000               1350.32
904000               1307.06
908000               1344.16
912000               1303.93
916000               1363.15
920000               1404.23
924000               1361.50
928000               1339.86
932000               1353.19
936000               1814.12
940000               1446.63
944000               1397.30
948000               1390.62
952000               1372.89
956000               1456.50
960000               1480.68
964000               1819.90
968000               1447.86
972000               1402.21
976000               1500.63
980000               1953.65
984000               1435.30
988000               1464.06
992000               1848.18
996000               1526.77
1000000              1637.42
1004000              1597.18
1008000              1479.44
1012000              1617.66
1016000              1843.54
1020000              1906.77
1024000              1820.59
