
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              5527.50
9000000             30837.97
17000000            57065.29
25000000            89171.70
33000000           109047.30
41000000           137848.87
49000000           162056.98
57000000           182667.84
65000000           213208.30
73000000           236351.22
81000000           261140.73
89000000           281815.70
97000000           331617.67
105000000          334761.56
113000000          367544.25
121000000          398654.93
129000000          433700.86
137000000          441964.49
145000000          478079.23
153000000          505891.88
161000000          521069.53
169000000          609803.36
177000000          595124.27
185000000          687875.05
193000000          657396.17
201000000          695800.40
209000000          716504.91
217000000          741282.12
225000000          770272.99
233000000          846075.03
241000000          827460.65
249000000          867371.01
257000000          995319.43
265000000          926008.31
273000000          982085.48
281000000         1056485.73
289000000         1031293.37
297000000         1055842.96
305000000         1074141.95
313000000         1122032.71
321000000         1138226.95
329000000         1198713.85
337000000         1179640.05
345000000         1265819.88
353000000         1300457.62
361000000         1389903.96
369000000         1346493.94
377000000         1315496.60
385000000         1356326.11
393000000         1407631.24
401000000         1422695.37
409000000         1425097.08
417000000         1462627.83
425000000         1512477.98
433000000         1721316.50
441000000         1536696.84
449000000         1599762.02
457000000         1607107.71
465000000         1614572.27
473000000         1659308.65
481000000         1826996.26
489000000         1719772.26
497000000         1825243.91
505000000         2017197.88
