# OSU MPI Latency Test v5.7
# Size          Latency (us)
100000                 19.46
101000                 19.16
102000                 19.69
103000                 20.48
104000                 19.91
105000                 20.15
106000                 20.37
107000                 20.64
108000                 21.10
109000                 20.62
110000                 20.86
111000                 21.11
112000                 20.43
113000                 20.96
114000                 21.18
115000                 21.54
116000                 21.49
117000                 21.67
118000                 21.90
119000                 21.99
120000                 22.85
121000                 22.72
122000                 22.84
123000                 22.96
124000                 23.25
125000                 23.80
126000                 23.53
127000                 23.44
128000                 23.39
129000                 23.48
130000                 24.43
131000                 24.34
132000                 24.37
133000                 24.09
134000                 24.53
135000                 25.08
136000                 24.74
137000                 24.91
138000                 25.24
139000                 25.58
140000                 25.74
141000                 26.46
142000                 24.91
143000                 25.14
144000                 25.51
145000                 25.61
146000                 25.70
147000                 25.67
148000                 26.03
149000                 26.21
150000                 26.01
151000                 26.46
152000                 26.41
153000                 27.06
154000                 26.73
155000                 26.28
156000                 26.35
157000                 26.56
158000                 26.55
159000                 26.67
160000                 26.84
161000                 26.80
162000                 26.93
163000                 26.87
164000                 27.19
165000                 27.62
166000                 27.73
167000                 27.53
168000                 26.92
169000                 27.52
170000                 27.98
171000                 27.90
172000                 27.68
173000                 27.97
174000                 28.30
175000                 28.01
176000                 28.43
177000                 28.72
178000                 29.68
179000                 29.19
180000                 28.20
181000                 28.58
182000                 28.76
183000                 28.83
184000                 28.86
185000                 29.32
186000                 29.23
187000                 29.12
188000                 29.66
189000                 29.76
190000                 29.61
191000                 29.27
192000                 28.86
193000                 29.37
194000                 29.37
195000                 29.39
196000                 29.47
197000                 29.75
198000                 30.57
199000                 30.15
200000                 30.53
201000                 31.01
202000                 31.21
203000                 31.11
204000                 30.55
205000                 31.76
206000                 31.64
207000                 31.22
208000                 31.11
209000                 31.29
210000                 31.23
211000                 31.38
212000                 31.57
213000                 31.62
214000                 31.54
215000                 31.79
216000                 31.89
217000                 31.51
218000                 31.66
219000                 31.96
220000                 32.08
221000                 32.13
222000                 32.02
223000                 32.18
224000                 32.37
225000                 32.51
226000                 32.88
227000                 32.59
228000                 33.03
229000                 32.78
230000                 32.88
231000                 33.10
232000                 33.15
233000                 33.20
234000                 33.22
235000                 33.34
236000                 33.40
237000                 33.61
238000                 33.98
239000                 33.99
240000                 33.93
241000                 33.87
242000                 34.70
243000                 34.39
244000                 34.58
245000                 34.61
246000                 34.63
247000                 34.70
248000                 34.76
249000                 35.16
250000                 34.96
251000                 35.05
252000                 34.90
253000                 35.45
254000                 35.34
255000                 35.30
256000                 35.34
257000                 35.44
258000                 35.69
259000                 36.09
260000                 36.22
261000                 35.95
262000                 35.67
263000                 35.87
264000                 35.84
265000                 35.88
266000                 36.09
267000                 36.08
268000                 36.24
269000                 36.91
270000                 37.48
271000                 38.14
272000                 37.70
273000                 36.68
274000                 37.02
275000                 38.04
276000                 37.09
277000                 37.14
278000                 37.79
279000                 39.02
280000                 40.87
281000                 43.86
282000                 41.64
283000                 37.97
284000                 37.66
285000                 37.96
286000                 37.93
287000                 37.88
288000                 38.17
289000                 38.76
290000                 38.66
291000                 38.75
292000                 38.25
293000                 38.56
294000                 38.51
295000                 38.77
296000                 39.09
297000                 38.85
298000                 39.07
299000                 40.10
300000                 39.54
301000                 38.90
302000                 38.85
303000                 39.05
304000                 39.20
305000                 39.04
306000                 38.96
307000                 39.08
308000                 39.53
309000                 39.79
310000                 39.71
311000                 39.65
312000                 39.92
313000                 39.76
314000                 40.15
315000                 40.36
316000                 40.49
317000                 40.45
318000                 40.89
319000                 40.75
320000                 40.58
321000                 40.86
322000                 40.88
323000                 40.96
324000                 41.18
325000                 41.13
326000                 41.45
327000                 41.87
328000                 41.42
329000                 41.51
330000                 41.63
331000                 41.72
332000                 41.66
333000                 41.62
334000                 41.87
335000                 42.19
336000                 42.44
337000                 41.83
338000                 42.01
339000                 42.10
340000                 42.16
341000                 42.31
342000                 42.38
343000                 42.11
344000                 43.72
345000                 43.02
346000                 42.36
347000                 42.65
348000                 42.92
349000                 42.86
350000                 42.88
351000                 43.07
352000                 43.43
353000                 43.80
354000                 43.96
355000                 44.43
356000                 44.60
357000                 44.33
358000                 44.10
359000                 43.87
360000                 43.83
361000                 44.54
362000                 45.14
363000                 45.30
364000                 45.50
365000                 45.67
366000                 45.42
367000                 45.30
368000                 44.78
369000                 45.02
370000                 44.94
371000                 45.06
372000                 45.48
373000                 45.47
374000                 45.90
375000                 45.90
376000                 45.66
377000                 45.77
378000                 45.79
379000                 45.84
380000                 45.80
381000                 45.90
382000                 46.10
383000                 46.30
384000                 46.03
385000                 46.12
386000                 45.91
387000                 45.98
388000                 46.40
389000                 46.47
390000                 46.91
391000                 47.29
392000                 46.83
393000                 46.69
394000                 46.93
395000                 46.97
396000                 47.08
397000                 47.41
398000                 47.74
399000                 47.75
400000                 47.29
401000                 47.41
402000                 47.98
403000                 47.95
404000                 47.97
405000                 48.22
406000                 48.46
407000                 48.63
408000                 48.17
409000                 48.21
410000                 48.68
411000                 48.73
412000                 49.04
413000                 49.53
414000                 49.67
415000                 49.35
416000                 49.42
417000                 49.54
418000                 50.07
419000                 50.14
420000                 50.58
421000                 50.89
422000                 50.54
423000                 50.50
424000                 50.87
425000                 51.15
426000                 50.96
427000                 51.29
428000                 51.34
429000                 51.44
430000                 50.61
431000                 51.10
432000                 51.44
433000                 51.60
434000                 51.70
435000                 51.86
436000                 51.95
437000                 51.71
438000                 52.09
439000                 52.49
440000                 52.02
441000                 52.14
442000                 53.09
443000                 53.70
444000                 53.42
445000                 52.66
446000                 53.05
447000                 53.02
448000                 53.24
449000                 53.70
450000                 54.29
451000                 53.49
452000                 53.13
453000                 54.07
454000                 53.83
455000                 54.34
456000                 54.29
457000                 54.56
458000                 54.89
459000                 54.16
460000                 54.02
461000                 54.42
462000                 54.47
463000                 54.34
464000                 54.29
465000                 55.62
466000                 55.59
467000                 54.05
468000                 54.93
469000                 55.70
470000                 55.76
471000                 56.08
472000                 57.04
473000                 58.44
474000                 56.65
475000                 56.80
476000                 56.50
477000                 56.45
478000                 57.19
479000                 58.90
480000                 58.98
481000                 58.17
482000                 59.22
483000                 59.23
484000                 60.14
485000                 60.18
486000                 59.83
487000                 59.61
488000                 59.99
489000                 59.77
490000                 59.97
491000                 60.29
492000                 60.27
493000                 60.14
494000                 60.24
495000                 60.24
496000                 60.13
497000                 60.15
498000                 59.97
499000                 58.10
500000                 59.29
501000                 58.93
502000                 58.80
503000                 59.26
504000                 60.15
505000                 58.96
506000                 59.07
507000                 59.12
508000                 59.77
509000                 59.76
510000                 60.07
511000                 60.24
512000                 59.66
513000                 60.12
514000                 60.11
515000                 60.00
516000                 60.62
517000                 60.99
518000                 60.06
519000                 59.66
520000                 60.48
521000                 60.63
522000                 60.53
523000                 60.78
524000                 60.83
525000                 61.04
