
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   21.44
8000                   31.19
12000                  88.85
16000                  92.28
20000                  93.85
24000                  93.78
28000                  96.58
32000                  98.16
36000                 119.84
40000                 112.15
44000                 155.95
48000                 191.62
52000                 120.28
56000                 122.28
60000                 126.64
64000                 129.68
68000                 132.79
72000                 136.41
76000                 138.88
80000                 140.64
84000                 144.47
88000                 146.96
92000                 151.88
96000                 154.57
100000                155.44
104000                158.62
108000                160.14
112000                162.77
116000                168.21
120000                178.80
124000                171.76
128000                174.47
132000                181.01
136000                182.07
140000                184.44
144000                187.12
148000                191.77
152000                193.37
156000                197.28
160000                199.58
164000                206.96
168000                206.29
172000                209.96
176000                212.76
180000                216.11
184000                217.88
188000                221.59
192000                224.29
196000                480.55
200000                352.85
204000                375.88
208000                351.35
212000                348.71
216000                353.44
220000                356.17
224000                489.05
228000                383.64
232000                402.63
236000                378.10
240000                387.23
244000                499.80
248000                423.03
252000                393.97
256000                395.35
260000                610.12
264000                467.99
268000                612.37
272000                420.69
276000                460.58
280000                430.00
284000                452.22
288000                440.30
292000                433.77
296000                530.37
300000                446.07
304000                455.11
308000                460.26
312000                485.47
316000                457.90
320000                482.72
324000                670.73
328000                476.57
332000                506.13
336000                481.78
340000                481.67
344000                482.11
348000                489.57
352000                493.57
356000                528.63
360000                498.04
364000                515.88
368000                502.55
372000                527.82
376000                510.87
380000                512.90
384000                552.77
388000                536.24
392000                536.25
396000                758.77
400000                554.42
404000                698.12
408000                551.17
412000                793.42
416000                645.05
420000                558.00
424000                724.74
428000                613.88
432000                574.23
436000                577.41
440000                621.95
444000                608.91
448000                611.44
452000                608.73
456000                618.74
460000                758.16
464000                882.08
468000                952.81
472000                918.80
476000                636.89
480000                637.15
484000                648.91
488000                653.74
492000                671.39
496000                672.54
500000                673.34
504000                767.19
508000                693.04
512000               1022.48
516000                703.20
520000                716.40
524000                799.38
528000                924.11
532000                983.30
536000                822.82
540000                996.85
544000               1001.84
548000               1006.07
552000               1004.96
556000               1022.40
560000               1011.79
564000               1021.38
568000               1018.14
572000               1050.62
576000               1029.14
580000               1031.34
584000               1039.05
588000               1040.36
592000               1051.22
596000               1072.35
600000               1060.37
604000               1064.18
608000               1069.15
612000                981.56
616000               1093.59
620000               1100.75
624000               1117.22
628000                973.23
632000               1146.63
636000               1133.10
640000               1133.32
644000               1081.43
648000               1145.62
652000               1149.40
656000               1169.86
660000               1037.12
664000                927.17
668000                953.82
672000               1204.39
676000               1190.84
680000               1265.42
684000               1153.28
688000               1214.08
692000               1233.81
696000               1240.31
700000               1267.50
704000               1396.15
708000               1280.75
712000               1276.21
716000               1302.52
720000               1311.69
724000               1332.88
728000               1301.05
732000               1304.80
736000               1373.55
740000               1316.37
744000               1277.09
748000               1092.96
752000               1346.93
756000               1343.12
760000               1344.03
764000               1345.97
768000               1528.40
772000               1233.78
776000               1366.91
780000               1375.41
784000               1498.86
788000               1397.94
792000               1397.35
796000               1428.84
800000               1680.12
804000               1469.64
808000               1455.58
812000               1270.93
816000               1121.16
820000               1140.52
824000               1602.70
828000               1489.17
832000               1486.91
836000               1772.74
840000               1488.73
844000               1499.66
848000               1502.19
852000               1438.73
856000               1216.78
860000               1778.43
864000               1526.57
868000               1615.51
872000               1530.99
876000               1537.69
880000               1671.27
884000               1551.31
888000               1554.23
892000               1573.31
896000               1829.36
900000               1585.18
904000               1583.43
908000               1889.91
912000               1701.07
916000               1870.61
920000               1703.26
924000               1676.17
928000               1709.14
932000               1693.44
936000               1680.47
940000               1689.16
944000               1691.19
948000               1715.86
952000               1710.92
956000               1413.67
960000               1722.75
964000               1718.03
968000               1630.17
972000               1714.79
976000               1740.97
980000               1534.00
984000               1454.18
988000               1497.20
992000               1760.58
996000               1785.15
1000000              1578.11
1004000              1569.46
1008000              1478.83
1012000              1815.89
1016000              1853.58
1020000              1991.20
1024000              1879.88
