
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1469.71
41000000           119502.53
81000000           188835.23
121000000          267423.42
161000000          350352.22
201000000          436762.93
241000000          517453.68
281000000          596757.55
321000000          700689.74
361000000          823294.02
401000000          906021.53
441000000         1006715.46
481000000         1104745.94
521000000         1149079.98
561000000         1179170.84
601000000         1297213.54
641000000         1374207.60
681000000         1444878.93
721000000         1594831.44
761000000         1615221.56
801000000         1666795.31
841000000         1785017.40
881000000         1902076.89
921000000         1990730.57
961000000         2065390.10
1001000000        2085975.20
