
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       7.66
8                       7.33
16                      7.31
32                      7.36
64                      7.48
128                     9.99
256                    30.37
512                    10.85
1024                   12.18
2048                   14.48
4096                   19.40
8192                   27.34
16384                  86.99
32768                 120.29
65536                 131.25
131072                181.67
262144                415.98
524288                783.16
1048576              1042.23
2097152              2972.09
4194304              5352.73
8388608             11300.44
16777216            26476.90
33554432            58930.64
67108864           118941.30
134217728          238856.83
268435456          479187.23
536870912          946947.89
