
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1202.19
9000000             13059.70
17000000            27876.14
25000000            41392.22
33000000            53318.01
41000000            63935.22
49000000            78311.13
57000000            87417.66
65000000            99442.33
73000000           112881.42
81000000           124812.50
89000000           137778.12
97000000           147782.07
105000000          160284.04
113000000          171674.38
121000000          193287.90
129000000          199907.97
137000000          212923.12
145000000          227955.07
153000000          236533.47
161000000          252178.30
169000000          264769.01
177000000          280717.01
185000000          308802.25
193000000          315105.30
201000000          311560.33
209000000          322589.05
217000000          354198.87
225000000          369704.93
233000000          383646.11
241000000          395843.79
249000000          403631.50
257000000          412274.52
265000000          421040.90
273000000          440362.55
281000000          451861.66
289000000          468900.22
297000000          471848.84
305000000          485146.80
313000000          517667.73
321000000          514467.20
329000000          528716.00
337000000          537517.10
345000000          574940.58
353000000          574779.51
361000000          590523.90
369000000          599780.61
377000000          623286.85
385000000          637689.94
393000000          636770.78
401000000          647949.33
409000000          667096.89
417000000          697891.49
425000000          713402.51
433000000          719286.06
441000000          719186.13
449000000          743451.74
457000000          771508.47
465000000          744263.48
473000000          799944.82
481000000          797842.01
489000000          813175.00
