# OSU MPI Latency Test v5.7
# Size          Latency (us)
1000000               107.28
3000000               291.18
5000000               481.49
7000000               661.88
9000000               843.44
11000000             1029.99
13000000             1212.41
15000000             1417.29
17000000             1591.91
19000000             1780.68
21000000             1958.21
23000000             2139.74
25000000             2311.84
27000000             2512.04
29000000             2634.67
31000000             2690.05
33000000             3031.56
35000000             3253.30
37000000             3444.83
39000000             3622.52
41000000             3834.57
43000000             3972.02
45000000             4110.94
47000000             4379.64
49000000             4577.58
51000000             4760.81
53000000             4933.72
55000000             5121.16
57000000             5289.93
59000000             5479.89
61000000             5655.32
63000000             5869.34
65000000             6037.98
67000000             6231.15
69000000             6428.38
71000000             6587.84
73000000             6804.06
75000000             6803.62
77000000             6965.89
79000000             7143.33
81000000             7324.67
83000000             7508.61
85000000             7685.98
87000000             7867.96
89000000             8006.15
91000000             8190.64
93000000             8400.44
95000000             8567.78
97000000             8756.04
99000000             8940.17
101000000            9023.34
103000000            9303.06
105000000            9487.72
107000000            9449.37
109000000            9748.01
111000000           10005.55
113000000           10225.39
115000000           10404.26
117000000           10574.52
119000000           10660.73
121000000           10925.58
123000000           11093.87
125000000           11304.46
127000000           11485.59
129000000           11643.45
131000000           11774.82
133000000           12028.59
135000000           12253.44
137000000           12416.67
139000000           12570.05
141000000           12767.67
143000000           12949.19
145000000           13468.27
147000000           13795.77
149000000           13990.85
151000000           14105.41
153000000           13662.55
155000000           14014.61
157000000           14112.24
159000000           14085.92
161000000           14500.50
163000000           14746.43
165000000           14572.86
167000000           15120.55
169000000           15279.99
171000000           15444.55
173000000           15579.36
175000000           15735.25
177000000           15985.92
179000000           16139.62
181000000           16185.43
183000000           16495.07
185000000           16673.36
187000000           16917.57
189000000           17066.33
191000000           17276.56
193000000           17421.24
195000000           17575.60
197000000           17781.75
199000000           17952.42
201000000           18092.74
203000000           18309.69
205000000           18373.80
207000000           18684.63
209000000           18895.07
211000000           18773.43
213000000           19232.90
215000000           19430.15
217000000           19600.51
219000000           19795.92
221000000           19994.94
223000000           20136.33
225000000           20251.19
227000000           20472.16
229000000           20627.57
231000000           20808.91
233000000           21075.69
235000000           21250.84
237000000           21436.00
239000000           21590.57
241000000           21759.47
243000000           21535.79
245000000           22129.91
247000000           22265.15
249000000           22519.50
251000000           22587.23
253000000           22823.63
255000000           23040.74
257000000           23265.41
259000000           23393.76
261000000           23590.85
263000000           23737.18
265000000           23942.03
267000000           24144.50
269000000           24291.83
271000000           24488.33
273000000           24583.28
275000000           24665.69
277000000           24982.86
279000000           25278.90
281000000           25524.37
283000000           25612.50
285000000           25807.79
287000000           25981.77
289000000           26150.38
291000000           26337.60
293000000           26464.81
295000000           26674.27
297000000           26902.41
299000000           27072.58
301000000           27202.59
303000000           27434.10
305000000           27654.36
307000000           27831.80
309000000           28005.39
311000000           28178.94
313000000           28412.00
315000000           28553.39
317000000           28780.15
319000000           28901.24
321000000           29076.63
323000000           29305.19
325000000           29533.40
327000000           29694.89
329000000           29847.41
331000000           30078.24
333000000           30204.68
335000000           30367.16
337000000           30541.57
339000000           30733.56
341000000           30882.96
343000000           31056.31
345000000           31269.55
347000000           31463.89
349000000           31623.54
351000000           31852.18
353000000           32008.74
355000000           32250.29
357000000           32357.42
359000000           32477.16
361000000           32731.71
363000000           32966.41
365000000           33130.98
367000000           33240.03
369000000           33396.27
371000000           33669.64
373000000           33809.36
375000000           34008.19
377000000           34207.07
379000000           34380.59
381000000           34219.77
383000000           34751.86
385000000           34943.55
387000000           35138.63
389000000           35362.69
391000000           35494.06
393000000           35644.47
395000000           35851.51
397000000           36043.78
399000000           36226.33
401000000           36336.34
403000000           36461.15
405000000           36692.11
407000000           36884.96
409000000           37162.13
411000000           37363.14
413000000           37581.37
415000000           37699.08
417000000           37862.66
419000000           38094.60
421000000           38257.50
423000000           38486.06
425000000           38753.15
427000000           38896.99
429000000           39075.46
431000000           39081.56
433000000           39495.03
435000000           39670.93
437000000           39783.45
439000000           40046.03
441000000           40266.81
443000000           40389.29
445000000           40651.15
447000000           40898.52
449000000           41019.24
451000000           41206.42
453000000           41461.70
455000000           41618.23
457000000           41709.20
459000000           41971.03
461000000           42349.54
463000000           42319.71
465000000           42792.86
467000000           42953.26
469000000           43209.51
471000000           43355.34
473000000           43535.92
475000000           43665.92
477000000           43861.99
479000000           44063.68
481000000           44110.69
483000000           44178.40
485000000           44564.42
487000000           44929.07
489000000           44897.11
491000000           45145.71
493000000           45437.34
495000000           45623.33
497000000           45813.45
499000000           45943.88
501000000           46139.56
503000000           46366.61
505000000           46431.99
507000000           46593.59
509000000           46802.70
511000000           47131.72
