# OSU MPI Latency Test v5.7
# Size          Latency (us)
0                       0.37
1                       0.44
33                      0.46
65                      0.49
97                      0.49
129                     0.51
161                     0.53
193                     0.56
225                     0.57
257                     0.76
289                     0.76
321                     0.76
353                     0.78
385                     0.78
417                     0.79
449                     0.79
481                     0.81
513                     0.81
545                     0.82
577                     0.82
609                     0.84
641                     0.84
673                     0.85
705                     0.85
737                     0.87
769                     0.87
801                     0.87
833                     0.88
865                     0.90
897                     0.90
929                     0.91
961                     0.92
993                     0.94
1025                    0.95
1057                    0.95
1089                    0.94
1121                    0.96
1153                    0.96
1185                    0.97
1217                    0.99
1249                    0.99
1281                    0.99
1313                    0.98
1345                    0.99
1377                    1.02
1409                    1.02
1441                    1.02
1473                    1.02
1505                    1.05
1537                    1.05
1569                    1.05
1601                    1.05
1633                    1.07
1665                    1.06
1697                    1.04
1729                    1.04
1761                    1.07
1793                    1.07
1825                    1.08
1857                    1.09
1889                    1.10
1921                    1.10
1953                    1.09
1985                    1.10
2017                    1.12
2049                    1.12
2081                    1.12
2113                    1.13
2145                    1.15
2177                    1.17
2209                    1.17
2241                    1.17
2273                    1.21
2305                    1.24
2337                    1.21
2369                    1.20
2401                    1.23
2433                    1.23
2465                    1.24
2497                    1.25
2529                    1.26
2561                    1.27
2593                    1.28
2625                    1.28
2657                    1.30
2689                    1.29
2721                    1.30
2753                    1.30
2785                    1.33
2817                    1.33
2849                    1.34
2881                    1.33
2913                    1.35
2945                    1.36
2977                    1.37
3009                    1.37
3041                    1.40
3073                    1.39
3105                    1.41
3137                    1.40
3169                    1.44
3201                    1.43
3233                    1.44
3265                    1.44
3297                    1.47
3329                    1.46
3361                    1.47
3393                    1.47
3425                    1.50
3457                    1.49
3489                    1.51
3521                    1.51
3553                    1.53
3585                    1.53
3617                    1.54
3649                    1.55
3681                    1.56
3713                    1.56
3745                    1.57
3777                    1.57
3809                    1.60
3841                    1.59
3873                    1.60
3905                    1.59
3937                    1.63
3969                    1.62
4001                    1.63
4033                    1.63
4065                    4.47
4097                    4.72
4129                    4.74
4161                    4.77
4193                    4.75
4225                    4.75
4257                    4.76
4289                    4.76
4321                    4.77
4353                    4.78
4385                    4.78
4417                    4.79
4449                    4.79
4481                    4.80
4513                    4.80
4545                    4.80
4577                    4.82
4609                    4.86
4641                    4.87
4673                    4.87
4705                    4.88
4737                    4.86
4769                    4.86
4801                    4.87
4833                    4.88
4865                    4.88
4897                    4.89
4929                    4.90
4961                    4.89
4993                    4.89
5025                    4.90
5057                    4.90
5089                    4.90
5121                    4.91
5153                    4.92
5185                    4.92
5217                    4.93
5249                    4.93
5281                    4.93
5313                    4.94
5345                    4.94
5377                    4.95
5409                    4.95
5441                    4.95
5473                    4.96
5505                    4.97
5537                    4.98
5569                    4.97
5601                    4.96
5633                    4.98
5665                    4.98
5697                    4.99
5729                    4.99
5761                    4.99
5793                    4.99
5825                    5.01
5857                    5.00
5889                    5.01
5921                    5.00
5953                    5.02
5985                    5.01
6017                    5.03
6049                    5.03
6081                    5.03
6113                    5.04
6145                    5.05
6177                    5.04
6209                    5.05
6241                    5.15
6273                    5.06
6305                    5.05
6337                    5.08
6369                    5.07
6401                    5.08
6433                    5.08
6465                    5.08
6497                    5.09
6529                    5.09
6561                    5.09
6593                    5.08
6625                    5.09
6657                    5.10
6689                    5.10
6721                    5.10
6753                    5.12
6785                    5.11
6817                    5.11
6849                    5.12
6881                    5.12
6913                    5.13
6945                    5.13
6977                    5.14
7009                    5.14
7041                    5.15
7073                    5.15
7105                    5.16
7137                    5.16
7169                    5.17
7201                    5.17
7233                    5.17
7265                    5.18
7297                    5.18
7329                    5.18
7361                    5.20
7393                    5.21
7425                    5.21
7457                    5.20
7489                    5.22
7521                    5.18
7553                    5.24
7585                    5.23
7617                    5.23
7649                    5.24
7681                    5.25
7713                    5.24
7745                    5.26
7777                    5.26
7809                    5.27
7841                    5.27
7873                    5.27
7905                    5.28
7937                    5.28
7969                    5.27
8001                    5.29
8033                    5.28
8065                    5.29
8097                    5.28
8129                    5.29
8161                    5.27
8193                    5.45
8225                    5.47
8257                    5.47
8289                    5.42
8321                    5.44
8353                    5.49
8385                    5.45
8417                    5.50
8449                    5.46
8481                    5.53
8513                    5.52
8545                    5.50
8577                    5.52
8609                    5.53
8641                    5.54
8673                    5.54
8705                    5.54
8737                    5.50
8769                    5.54
8801                    5.54
8833                    5.53
8865                    5.54
8897                    5.52
8929                    5.54
8961                    5.55
8993                    5.55
9025                    5.57
9057                    5.56
9089                    5.56
9121                    5.55
9153                    5.61
9185                    5.57
9217                    5.59
9249                    5.55
9281                    5.60
9313                    5.61
9345                    5.60
9377                    5.61
9409                    5.61
9441                    5.57
9473                    5.61
9505                    5.62
9537                    5.62
9569                    5.62
9601                    5.64
9633                    5.64
9665                    5.64
9697                    5.65
9729                    5.67
9761                    5.66
9793                    5.67
9825                    5.66
9857                    5.61
9889                    5.63
9921                    5.68
9953                    5.69
9985                    5.69
