
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000               396.95
41000000            34596.76
81000000            69734.49
121000000          103587.01
161000000          143662.15
201000000          170505.49
241000000          201907.58
281000000          233338.46
321000000          274001.78
361000000          306861.21
401000000          344039.74
441000000          375367.48
481000000          434484.92
521000000          469188.77
561000000          484069.26
601000000          538311.00
641000000          572691.76
681000000          613096.57
721000000          625565.41
761000000          669957.37
801000000          705647.26
841000000          740802.99
881000000          772375.79
921000000          845860.32
961000000          941550.90
1001000000         921814.68
