
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   75.58
8000                   76.88
12000                 144.31
16000                 148.76
20000                 152.80
24000                 157.16
28000                 168.25
32000                 169.44
36000                 176.30
40000                 190.46
44000                 194.31
48000                 189.99
52000                 196.84
56000                 203.54
60000                 202.96
64000                 217.62
68000                 228.68
72000                 224.80
76000                 231.50
80000                 230.63
84000                 239.88
88000                 242.66
92000                 258.39
96000                 264.34
100000                252.34
104000                256.61
108000                258.64
112000                262.63
116000                274.43
120000                277.69
124000                282.08
128000                285.39
132000                406.44
136000                426.04
140000                439.69
144000                455.77
148000                483.58
152000                450.99
156000                480.39
160000                493.10
164000                566.76
168000                488.85
172000                510.38
176000                527.44
180000                520.90
184000                577.05
188000                524.21
192000                505.68
196000                532.08
200000                566.91
204000                538.53
208000                534.80
212000                565.42
216000                592.25
220000                635.32
224000                601.01
228000                574.07
232000                564.80
236000                576.60
240000                602.10
244000                643.78
248000                594.96
252000                706.60
256000                606.75
260000                591.22
264000                625.85
268000                650.21
272000                633.29
276000                649.59
280000                644.33
284000                639.65
288000                640.85
292000                683.11
296000                694.98
300000                694.87
304000                642.91
308000                643.98
312000                651.47
316000                698.87
320000                774.30
324000                729.96
328000                704.60
332000                683.10
336000                678.01
340000                679.87
344000                690.96
348000                700.41
352000                724.24
356000                777.33
360000                695.28
364000                762.80
368000                747.95
372000                737.70
376000                730.93
380000                724.31
384000                822.08
388000                696.48
392000                829.79
396000                818.36
400000                771.15
404000                785.38
408000                780.43
412000                893.43
416000                834.49
420000                793.24
424000                769.27
428000                794.82
432000                882.41
436000                875.21
440000                876.28
444000                838.52
448000                849.58
452000                865.33
456000                905.42
460000                866.48
464000                829.39
468000                860.09
472000                892.09
476000                938.11
480000                830.01
484000                865.92
488000                891.25
492000                859.88
496000                848.23
500000                863.32
504000                877.73
508000                900.04
512000                851.27
516000                894.58
520000                955.10
524000                875.85
528000                939.12
532000                982.55
536000                954.60
540000                966.57
544000                987.48
548000                993.36
552000                913.44
556000                946.93
560000                933.91
564000                935.56
568000                962.30
572000                974.61
576000                948.56
580000                967.34
584000                966.64
588000                954.56
592000               1029.89
596000                993.62
600000                945.31
604000                968.23
608000               1015.69
612000                996.66
616000                956.30
620000                967.58
624000                975.44
628000                987.30
632000                986.26
636000               1009.39
640000               1008.40
644000               1011.30
648000                996.56
652000               1027.74
656000               1047.72
660000               1015.83
664000               1052.22
668000               1043.72
672000               1140.80
676000               1035.01
680000               1072.52
684000               1070.17
688000               1098.52
692000               1064.17
696000               1065.66
700000               1092.27
704000               1081.75
708000               1085.91
712000               1056.19
716000               1121.21
720000               1101.92
724000               1101.57
728000               1098.76
732000               1117.83
736000               1105.16
740000               1111.33
744000               1109.83
748000               1122.72
752000               1130.74
756000               1134.46
760000               1148.38
764000               1132.96
768000               1140.66
772000               1129.63
776000               1148.22
780000               1134.02
784000               1144.48
788000               1174.26
792000               1174.84
796000               1159.70
800000               1170.79
804000               1242.45
808000               1196.52
812000               1176.74
816000               1184.38
820000               1222.74
824000               1192.77
828000               1194.18
832000               1233.07
836000               1234.93
840000               1223.56
844000               1244.39
848000               1337.17
852000               1249.93
856000               1258.83
860000               1239.98
864000               1278.05
868000               1251.18
872000               1347.14
876000               1262.48
880000               1271.14
884000               1330.83
888000               1285.18
892000               1287.91
896000               1285.65
900000               1320.54
904000               1285.07
908000               1355.71
912000               1354.30
916000               1367.99
920000               1384.10
924000               1318.53
928000               1323.21
932000               1338.60
936000               1324.19
940000               1340.31
944000               1365.65
948000               1348.62
952000               1341.88
956000               1344.92
960000               1369.37
964000               1380.00
968000               1355.99
972000               1370.91
976000               1370.46
980000               1368.82
984000               1390.24
988000               1408.14
992000               1389.67
996000               1394.37
1000000              1418.11
1004000              1470.87
1008000              1413.55
1012000              1408.83
1016000              1461.06
1020000              1431.97
1024000              1444.18
