
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       8.13
8                       6.87
16                      6.97
32                      7.00
64                      7.18
128                     9.22
256                     9.65
512                    19.55
1024                   12.71
2048                   15.68
4096                   26.36
8192                   35.86
16384                 102.28
32768                 123.02
65536                 135.58
131072                292.90
262144                465.62
524288               1079.12
1048576              1449.15
2097152              2336.48
4194304              4841.75
8388608              9896.25
16777216            19863.62
33554432            45369.94
67108864            95703.01
134217728          200307.46
268435456          369599.33
536870912          764246.15
