
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1476.24
41000000            84615.14
81000000           159468.34
121000000          238524.93
161000000          331723.43
201000000          336457.13
241000000          415348.33
281000000          458843.54
321000000          539570.86
361000000          596582.89
401000000          657212.65
441000000          757338.51
481000000          809842.49
521000000          936931.54
561000000         1084318.55
601000000         1169634.23
641000000         1226261.72
681000000         1329119.67
721000000         1302248.89
761000000         1461758.58
801000000         1557572.17
841000000         1442415.38
881000000         1594429.86
921000000         1760235.84
961000000         1835185.72
1001000000        1877461.72
