
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                     320.58
8                     112.25
16                    118.15
32                    110.95
64                    112.85
128                   120.56
256                   221.12
512                   132.55
1024                  161.12
2048                  196.20
4096                  209.04
8192                  225.87
16384                1619.73
32768                1846.92
65536                2045.60
131072               2598.74
262144               2740.48
524288               3792.19
1048576             10180.95
2097152             10215.52
4194304             16277.28
8388608             28471.36
16777216            57303.75
33554432           127239.70
67108864           239533.30
134217728          487644.86
268435456          983317.07
536870912         2140479.13
