# OSU MPI Latency Test v5.7
# Size          Latency (us)
0                       1.67
1                       1.70
2                       1.70
4                       1.70
8                       1.74
16                      1.75
32                      1.75
64                      1.80
128                     2.54
256                     2.44
512                     2.40
1024                    2.53
2048                    2.88
4096                    3.71
8192                    5.02
16384                   9.55
32768                  10.33
65536                  13.38
131072                 22.96
262144                 34.66
524288                 60.24
1048576               100.51
2097152               187.63
4194304               361.86
