# OSU MPI Latency Test v5.7
# Size          Latency (us)
4000                  256.60
4032                  265.89
4064                  256.10
4096                  263.51
4128                  258.36
4160                  262.12
4192                  260.59
4224                  259.59
4256                  262.80
4288                  257.69
4320                  265.25
4352                  102.76
4384                  104.17
4416                  104.69
4448                  104.65
4480                  104.88
4512                  105.19
4544                  104.53
4576                  104.10
4608                  104.50
4640                  104.78
4672                  104.85
4704                  104.76
4736                  105.09
4768                  105.43
4800                  105.56
4832                  105.48
4864                  105.67
4896                  106.31
4928                  106.36
4960                  106.34
4992                  106.55
5024                  106.72
5056                  106.88
5088                  106.85
5120                  107.20
5152                  107.67
5184                  107.99
5216                  108.15
5248                  108.79
5280                  109.32
5312                  109.20
5344                  109.64
5376                  110.62
5408                  111.01
5440                  111.08
5472                  111.30
5504                  111.69
5536                  113.39
5568                  113.93
5600                  114.21
5632                  114.61
5664                  115.53
5696                  115.86
5728                  116.18
5760                  116.53
5792                  116.42
5824                  115.78
5856                  115.81
5888                  115.82
5920                  115.99
5952                  115.87
5984                  116.08
6016                  116.07
6048                  116.63
6080                  117.57
6112                  117.59
6144                  116.68
6176                  116.71
6208                  116.59
6240                  116.62
6272                  116.64
6304                  116.75
6336                  116.85
6368                  116.93
6400                  117.15
6432                  117.37
6464                  117.58
6496                  117.55
6528                  117.61
6560                  117.78
6592                  117.82
6624                  117.77
6656                  117.96
6688                  119.06
6720                  119.08
6752                  118.80
6784                  119.63
6816                  120.95
6848                  128.70
6880                  129.72
6912                  129.83
6944                  130.16
6976                  130.65
7008                  131.48
7040                  131.36
7072                  131.14
7104                  130.98
7136                  130.98
7168                  131.03
7200                  131.03
7232                  126.69
7264                  126.77
7296                  136.41
7328                  136.35
7360                  136.67
7392                  136.69
7424                  136.78
7456                  138.76
7488                  137.00
7520                  136.86
7552                  136.77
7584                  137.02
7616                  136.92
7648                  137.20
7680                  137.15
7712                  137.10
7744                  136.97
7776                  137.07
7808                  135.05
7840                  134.56
7872                  134.60
7904                  134.55
7936                  134.64
7968                  136.60
8000                  136.55
8032                  136.72
8064                  136.72
8096                  136.81
8128                  136.81
8160                  136.73
8192                  137.00
8224                  137.51
8256                  137.31
8288                  137.32
8320                  137.63
8352                  137.81
8384                  137.61
8416                  137.33
8448                  137.77
8480                  137.77
8512                  137.98
8544                  137.91
8576                  138.15
8608                  138.67
8640                  138.51
8672                  138.67
8704                  139.12
8736                  140.03
8768                  139.66
8800                  139.78
8832                  140.29
8864                  140.06
8896                  140.18
8928                  140.56
8960                  142.18
8992                  142.23
9024                  142.28
9056                  142.62
9088                  142.20
9120                  142.20
9152                  142.35
9184                  142.31
9216                  142.39
9248                  142.71
9280                  142.70
9312                  142.78
9344                  142.40
9376                  143.18
9408                  142.85
9440                  142.70
9472                  142.84
9504                  144.00
9536                  145.68
9568                  145.61
9600                  146.02
9632                  147.20
9664                  147.48
9696                  148.41
9728                  148.40
9760                  151.24
9792                  152.17
9824                  153.52
9856                  153.70
9888                  154.36
9920                  154.78
9952                  154.71
9984                  154.10
10016                 154.49
10048                 154.65
10080                 154.46
10112                 154.41
10144                 151.51
10176                 151.85
10208                 151.85
10240                 151.90
10272                 151.77
10304                 152.30
10336                 152.42
10368                 152.27
10400                 152.58
10432                 152.65
10464                 153.26
10496                 153.01
10528                 153.36
10560                 153.69
10592                 153.41
10624                 153.42
10656                 153.29
10688                 153.98
10720                 154.04
10752                 154.31
10784                 154.13
10816                 154.80
10848                 154.50
10880                 154.86
10912                 154.77
10944                 155.46
10976                 155.67
11008                 155.98
11040                 156.46
11072                 157.24
11104                 157.37
11136                 158.09
11168                 158.27
11200                 158.86
11232                 158.95
11264                 158.98
11296                 159.38
11328                 159.98
11360                 160.16
11392                 160.27
11424                 160.39
11456                 161.03
11488                 161.52
11520                 161.66
11552                 162.21
11584                 163.90
11616                 164.06
11648                 163.89
11680                 163.74
11712                 164.15
11744                 164.59
11776                 164.28
11808                 164.41
11840                 164.52
11872                 164.33
11904                 165.06
11936                 164.79
11968                 165.44
12000                 165.05
12032                 165.61
12064                 165.42
12096                 165.63
12128                 166.19
12160                 165.86
12192                 166.05
12224                 166.19
12256                 166.26
12288                 166.68
12320                 166.56
12352                 166.66
12384                 166.63
12416                 166.72
12448                 167.25
12480                 167.86
12512                 167.98
12544                 172.21
12576                 176.44
12608                 178.54
12640                 180.78
12672                 181.27
12704                 182.10
12736                 181.42
12768                 181.66
12800                 181.49
12832                 181.81
12864                 181.53
12896                 181.46
12928                 181.40
12960                 180.80
12992                 180.94
13024                 176.92
13056                 176.87
13088                 183.28
13120                 182.83
13152                 182.98
13184                 183.67
13216                 183.13
13248                 183.46
13280                 183.41
13312                 183.54
13344                 183.29
13376                 183.47
13408                 183.71
13440                 183.70
13472                 183.46
13504                 183.37
13536                 184.24
13568                 184.19
13600                 183.95
13632                 184.01
13664                 183.99
13696                 184.08
13728                 184.13
13760                 184.28
13792                 184.12
13824                 184.00
13856                 184.10
13888                 184.49
13920                 184.41
13952                 184.30
13984                 184.68
14016                 183.75
14048                 183.98
14080                 185.58
14112                 185.50
14144                 186.76
14176                 187.66
14208                 187.33
14240                 187.91
14272                 187.58
14304                 188.20
14336                 188.98
14368                 188.07
14400                 188.92
14432                 188.18
14464                 189.22
14496                 189.06
14528                 192.48
14560                 193.35
14592                 189.62
14624                 190.20
14656                 190.03
14688                 190.08
14720                 190.09
14752                 190.60
14784                 190.13
14816                 190.28
14848                 190.13
14880                 190.55
14912                 190.87
14944                 190.94
14976                 191.02
15008                 190.69
15040                 191.15
15072                 192.50
15104                 191.29
15136                 191.56
15168                 193.56
15200                 193.79
15232                 194.17
15264                 194.75
15296                 197.39
15328                 202.82
15360                 197.79
15392                 207.86
15424                 202.59
15456                 202.75
15488                 204.74
15520                 245.53
15552                 251.37
15584                 250.83
15616                 250.61
15648                 251.94
15680                 252.34
15712                 250.47
15744                 252.17
15776                 248.59
15808                 252.44
15840                 254.44
15872                 250.63
15904                 252.29
15936                 200.81
15968                 227.06
16000                 231.01
16032                 232.98
16064                 230.29
16096                 231.33
16128                 237.46
16160                 233.80
16192                 231.91
16224                 229.59
16256                 232.01
16288                 233.85
16320                 231.73
16352                 234.29
16384                 232.38
16416                 231.66
16448                 230.90
16480                 232.30
16512                 230.23
16544                 234.01
16576                 233.57
16608                 234.64
16640                 230.58
16672                 234.66
16704                 232.86
16736                 233.05
16768                 232.16
16800                 232.12
16832                 233.57
16864                 234.73
16896                 234.37
16928                 234.45
16960                 235.85
16992                 235.51
17024                 236.41
17056                 234.16
17088                 238.92
17120                 238.37
17152                 238.10
17184                 240.45
17216                 237.10
17248                 238.72
17280                 238.07
17312                 239.72
17344                 240.26
17376                 213.06
17408                 213.47
17440                 213.71
17472                 214.20
17504                 214.48
17536                 214.09
17568                 214.61
17600                 214.03
17632                 214.16
17664                 214.28
17696                 215.00
