
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   22.10
8000                   33.22
12000                  94.56
16000                  99.47
20000                  98.74
24000                  99.56
28000                 100.75
32000                 116.45
36000                 130.65
40000                 111.16
44000                 118.22
48000                 123.95
52000                 125.02
56000                 129.69
60000                 134.78
64000                 136.98
68000                 141.27
72000                 144.96
76000                 149.67
80000                 150.54
84000                 153.95
88000                 154.46
92000                 161.11
96000                 160.34
100000                167.52
104000                167.45
108000                172.93
112000                178.99
116000                182.38
120000                179.28
124000                180.43
128000                183.36
132000                188.55
136000                195.43
140000                202.86
144000                206.64
148000                207.55
152000                204.04
156000                206.42
160000                207.94
164000                210.53
168000                212.84
172000                215.84
176000                224.89
180000                228.45
184000                280.49
188000                234.88
192000                240.10
196000                570.76
200000                481.70
204000                498.28
208000                414.93
212000                400.87
216000                392.27
220000                459.70
224000                384.36
228000                383.09
232000                504.19
236000                490.27
240000                391.73
244000                388.04
248000                392.93
252000                595.08
256000                525.36
260000                414.96
264000                422.07
268000                422.96
272000                535.84
276000                519.41
280000                526.83
284000                451.61
288000                446.19
292000                477.15
296000                469.60
300000                447.11
304000                449.03
308000                458.28
312000                464.68
316000                464.61
320000                516.04
324000                514.25
328000                519.64
332000                535.83
336000                534.56
340000                501.69
344000                507.28
348000                537.52
352000                502.88
356000                696.55
360000                597.06
364000                540.48
368000                545.37
372000                571.20
376000                589.58
380000                737.53
384000                580.88
388000                549.71
392000                589.04
396000                587.34
400000                569.96
404000                555.24
408000                560.78
412000                607.14
416000                581.19
420000                847.52
424000                644.94
428000                656.14
432000                664.66
436000                667.38
440000                696.18
444000                728.89
448000                644.82
452000                811.58
456000               1016.35
460000                685.74
464000                727.64
468000                709.83
472000                642.38
476000                723.36
480000                678.99
484000                763.54
488000                679.24
492000                690.72
496000               1129.69
500000                742.66
504000                827.45
508000                694.11
512000                749.08
516000                735.73
520000                710.91
524000                806.39
528000                780.45
532000                764.37
536000                795.97
540000                815.64
544000                744.30
548000                801.28
552000                794.39
556000                777.41
560000                813.50
564000                917.48
568000                828.00
572000               1036.41
576000                815.75
580000                836.76
584000                858.68
588000                818.00
592000                856.68
596000                844.76
600000                850.17
604000                854.10
608000                855.06
612000                850.55
616000                876.42
620000                897.34
624000                879.07
628000                896.78
632000                932.09
636000                918.30
640000               1202.14
644000                927.99
648000                891.01
652000                911.10
656000                934.20
660000                959.96
664000                966.18
668000               1298.43
672000                978.90
676000               1034.51
680000                978.25
684000                975.59
688000                995.01
692000                996.83
696000                967.97
700000               1013.58
704000                982.65
708000               1005.32
712000               1017.03
716000               1047.31
720000               1049.95
724000               1022.77
728000               1049.22
732000               1031.22
736000               1077.48
740000               1075.66
744000               1092.72
748000               1131.07
752000               1066.64
756000               1072.68
760000               1060.37
764000               1117.66
768000               1131.78
772000               1131.24
776000               1084.89
780000               1152.95
784000               1096.28
788000               1155.79
792000               1195.43
796000               1190.25
800000               1170.90
804000               1182.56
808000               1136.34
812000               1255.29
816000               1294.36
820000               1575.08
824000               1199.16
828000               1165.02
832000               1220.12
836000               1242.44
840000               1289.15
844000               1187.12
848000               1243.39
852000               1251.07
856000               1447.66
860000               1710.85
864000               1348.44
868000               1679.29
872000               1700.52
876000               1760.65
880000               1404.40
884000               1722.06
888000               1895.81
892000               1597.28
896000               1385.91
900000               1351.59
904000               1384.04
908000               1304.27
912000               1371.83
916000               1394.86
920000               1359.32
924000               1402.55
928000               1323.49
932000               1453.44
936000               1421.31
940000               1374.85
944000               1417.42
948000               1387.69
952000               1485.79
956000               1468.01
960000               1391.78
964000               1436.22
968000               1403.55
972000               1519.06
976000               1466.56
980000               1436.70
984000               1528.34
988000               1646.76
992000               1575.93
996000               1498.80
1000000              1755.73
1004000              1489.61
1008000              1558.83
1012000              1653.14
1016000              1585.94
1020000              1493.64
1024000              1623.71
