
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       9.13
8                       7.39
16                      7.36
32                      7.34
64                      7.57
128                    31.42
256                    10.46
512                    11.20
1024                   12.68
2048                   14.84
4096                   20.04
8192                   35.59
16384                  98.02
32768                 113.25
65536                 136.34
131072                192.14
262144                432.60
524288                967.86
1048576              1362.12
2097152              2900.66
4194304              5662.18
8388608             12277.73
16777216            30535.57
33554432            67813.56
67108864           133656.87
134217728          267609.02
268435456          518335.50
536870912         1019875.15
