
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1318.37
41000000           102771.48
81000000           191858.58
121000000          244978.25
161000000          318378.79
201000000          400255.12
241000000          485008.95
281000000          548404.42
321000000          636973.61
361000000          700014.85
401000000          799649.92
441000000          883180.30
481000000          956046.04
521000000         1051173.11
561000000         1276369.53
601000000         1591505.19
641000000         1734130.29
681000000         1812969.06
721000000         1873501.70
761000000         2010697.91
801000000         2076731.25
841000000         2192726.62
881000000         2128281.19
921000000         2236692.69
961000000         2366403.20
1001000000        2459138.38
