
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   20.89
8000                   31.82
12000                  89.27
16000                  91.71
20000                  93.31
24000                  96.73
28000                  96.85
32000                 101.15
36000                 112.75
40000                 165.78
44000                 156.21
48000                 117.86
52000                 120.03
56000                 124.01
60000                 127.67
64000                 131.35
68000                 135.16
72000                 138.93
76000                 141.24
80000                 144.99
84000                 147.74
88000                 149.61
92000                 154.66
96000                 156.04
100000                158.95
104000                161.42
108000                164.63
112000                168.39
116000                170.39
120000                180.33
124000                188.81
128000                183.87
132000                184.10
136000                187.12
140000                192.36
144000                216.37
148000                201.53
152000                198.63
156000                200.79
160000                202.54
164000                210.22
168000                212.07
172000                214.41
176000                222.98
180000                222.13
184000                225.01
188000                227.13
192000                230.77
196000                368.40
200000                357.09
204000                362.56
208000                399.19
212000                415.35
216000                377.31
220000                381.43
224000                525.93
228000                419.92
232000                417.94
236000                396.12
240000                379.91
244000                382.09
248000                385.42
252000                386.86
256000                390.97
260000                397.68
264000                399.17
268000                407.23
272000                503.07
276000                451.52
280000                420.69
284000                419.21
288000                424.28
292000                638.72
296000                771.08
300000                441.01
304000                448.42
308000                451.29
312000                457.97
316000                460.05
320000                461.44
324000                469.79
328000                492.42
332000                501.65
336000                493.95
340000                493.94
344000                487.05
348000                520.47
352000                512.06
356000                507.02
360000                523.63
364000                522.63
368000                755.51
372000                726.51
376000                704.96
380000                709.58
384000                709.13
388000                715.60
392000                716.02
396000                543.31
400000                595.45
404000                567.93
408000                586.19
412000                580.95
416000                569.52
420000                564.54
424000                570.44
428000                588.88
432000                588.60
436000                591.36
440000                589.55
444000                784.80
448000                632.08
452000                616.88
456000                628.11
460000                652.75
464000                633.38
468000                649.26
472000                646.00
476000                804.34
480000                647.20
484000                647.37
488000                652.72
492000                662.65
496000                662.67
500000                668.64
504000                683.22
508000                686.82
512000                686.30
516000                688.75
520000                874.26
524000                973.60
528000                718.68
532000                756.12
536000                727.06
540000                898.97
544000                833.18
548000                812.01
552000                753.81
556000                761.99
560000                775.33
564000                777.86
568000                779.48
572000                780.81
576000                820.33
580000               1001.78
584000                798.57
588000                803.94
592000                814.34
596000                939.67
600000                839.42
604000                935.51
608000                925.61
612000                841.14
616000               1103.60
620000                836.87
624000                844.04
628000                847.03
632000                863.39
636000                865.46
640000                869.93
644000                868.98
648000                876.12
652000                877.68
656000                897.88
660000                888.17
664000                907.03
668000                909.07
672000                927.24
676000               1363.32
680000                940.30
684000               1327.07
688000                939.24
692000                951.86
696000                950.35
700000                964.07
704000               1128.44
708000                997.60
712000               1008.59
716000               1006.20
720000               1016.45
724000               1049.99
728000               1361.24
732000               1041.46
736000               1043.57
740000               1050.84
744000               1049.94
748000               1053.24
752000               1093.77
756000               1088.09
760000               1567.65
764000               1082.97
768000               1070.86
772000               1087.19
776000               1066.37
780000               1584.27
784000               1091.57
788000               1113.78
792000               1179.75
796000               1228.26
800000               1099.71
804000               1120.04
808000               1118.21
812000               1470.03
816000               1256.51
820000               1925.32
824000               1203.40
828000               1132.13
832000               1213.72
836000               1163.19
840000               1192.07
844000               1884.69
848000               1607.58
852000               1421.26
856000               1627.65
860000               1629.17
864000               1570.15
868000               1577.12
872000               1207.12
876000               1228.04
880000               1582.88
884000               1239.90
888000               1226.21
892000               1230.22
896000               1497.77
900000               1677.35
904000               1604.36
908000               1689.92
912000               1262.89
916000               1435.20
920000               1860.22
924000               1372.47
928000               1307.56
932000               1299.75
936000               1504.50
940000               1320.93
944000               1685.55
948000               1842.26
952000               1375.43
956000               1591.99
960000               1531.01
964000               1496.06
968000               1462.67
972000               1437.91
976000               1451.73
980000               1850.29
984000               1457.41
988000               1441.88
992000               1442.28
996000               1505.72
1000000              1821.50
1004000              1945.28
1008000              1915.29
1012000              1491.49
1016000              1530.92
1020000              1888.93
1024000              1501.49
