
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1235.05
9000000             14809.85
17000000            28511.02
25000000            40271.95
33000000            50859.65
41000000            64134.34
49000000            76538.35
57000000            87278.69
65000000            99600.07
73000000           111794.99
81000000           123852.05
89000000           137696.17
97000000           149789.65
105000000          159042.52
113000000          168841.72
121000000          186775.88
129000000          201939.05
137000000          206243.24
145000000          222546.71
153000000          233074.18
161000000          244807.14
169000000          260675.14
177000000          278514.06
185000000          287476.54
193000000          297153.90
201000000          316461.07
209000000          321362.08
217000000          343178.41
225000000          355578.82
233000000          381910.84
241000000          383606.82
249000000          397744.99
257000000          417226.05
265000000          420665.70
273000000          439482.98
281000000          446215.05
289000000          461339.83
297000000          459164.49
305000000          501528.80
313000000          500255.79
321000000          507947.51
329000000          527198.45
337000000          541773.06
345000000          558402.70
353000000          570116.65
361000000          573758.26
369000000          585844.42
377000000          607508.59
385000000          614718.08
393000000          635104.85
401000000          626223.54
409000000          683619.19
417000000          688310.63
425000000          687550.32
433000000          716054.11
441000000          718043.00
449000000          751947.33
457000000          748720.25
465000000          770734.21
473000000          802227.01
481000000          790116.75
489000000          824632.69
497000000          831261.52
505000000          844289.29
