
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              5404.64
9000000             35661.84
17000000            56504.30
25000000            85833.06
33000000           108059.21
41000000           136692.79
49000000           165202.25
57000000           189241.70
65000000           222395.73
73000000           252170.11
81000000           281558.30
89000000           298291.80
97000000           348159.14
105000000          359469.51
113000000          384545.28
121000000          431143.03
129000000          485869.01
137000000          523759.58
145000000          510890.54
153000000          542207.49
161000000          577482.45
169000000          614309.44
177000000          626492.20
185000000          716494.05
193000000          646167.63
201000000          744157.66
209000000          715602.95
217000000          723591.48
225000000          749581.75
233000000          774293.82
241000000          799559.34
249000000          834731.83
257000000          860391.42
265000000          868381.88
273000000          980045.40
281000000          940893.09
289000000          958222.34
297000000          992944.71
305000000         1027551.80
313000000         1051070.65
321000000         1067084.63
329000000         1117507.36
337000000         1141054.65
345000000         1199601.89
353000000         1241214.88
361000000         1230743.88
369000000         1235917.90
377000000         1416452.36
385000000         1347829.02
393000000         1316063.62
401000000         1379442.77
409000000         1465109.77
417000000         1480640.04
425000000         1464812.59
433000000         1521981.84
441000000         1517904.84
449000000         1557556.16
457000000         1570225.50
465000000         1686550.97
473000000         1680179.28
481000000         1605352.84
489000000         1712122.00
497000000         1831214.71
505000000         1785666.68
