
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                  202.41
8000                  213.39
12000                1282.83
16000                1365.86
20000                1468.48
24000                1597.62
28000                1619.22
32000                1648.18
36000                1649.63
40000                1682.76
44000                1685.61
48000                1871.48
52000                1889.83
56000                1893.28
60000                1877.36
64000                1889.95
68000                1892.61
72000                2004.00
76000                1992.38
80000                2062.84
84000                2021.27
88000                2055.25
92000                2037.00
96000                2067.35
100000               2051.64
104000               2080.91
108000               2065.58
112000               2058.24
116000               2132.19
120000               2127.51
124000               2143.77
128000               2115.72
132000               2125.45
136000               2142.82
140000               2166.01
144000               2190.92
148000               2217.84
152000               2211.85
156000               2193.55
160000               2229.20
164000               2251.89
168000               2269.10
172000               2261.09
176000               2321.00
180000               2315.19
184000               2326.71
188000               2380.58
192000               2411.75
196000               2388.71
200000               2424.36
204000               2370.28
208000               2394.00
212000               2444.84
216000               2454.39
220000               2428.37
224000               2460.53
228000               2462.71
232000               2540.09
236000               2554.10
240000               2556.30
244000               2568.34
248000               2662.09
252000               2582.33
256000               2631.96
260000               2607.56
264000               2602.61
268000               2628.68
272000               2679.33
276000               2685.06
280000               2726.05
284000               2737.25
288000               2743.52
292000               2771.11
296000               2740.66
300000               2776.90
304000               2814.56
308000               2780.89
312000               2816.47
316000               2826.89
320000               2820.02
324000               2844.15
328000               2878.13
332000               2873.18
336000               2904.22
340000               2912.50
344000               3043.49
348000               2962.79
352000               3016.49
356000               2942.17
360000               2980.53
364000               2893.22
368000               2928.67
372000               2965.54
376000               3000.15
380000               2995.58
384000               3047.32
388000               2989.62
392000               2960.49
396000               3097.37
400000               3194.84
404000               3078.77
408000               3120.59
412000               3153.37
416000               3099.42
420000               3104.80
424000               3135.13
428000               3189.79
432000               3117.17
436000               3141.36
440000               3182.01
444000               3255.57
448000               3235.14
452000               3209.79
456000               3225.41
460000               3241.44
464000               3236.79
468000               3306.09
472000               3262.97
476000               3267.08
480000               3322.55
484000               3286.29
488000               3349.80
492000               3549.74
496000               3556.74
500000               3583.18
504000               3473.03
508000               3475.94
512000               3496.93
516000               3493.08
520000               3483.99
524000               3495.52
528000               3547.92
532000               3492.16
536000               3503.44
540000               3533.51
544000               3647.63
548000               3623.00
552000               3586.01
556000               3625.09
560000               3586.91
564000               3658.37
568000               3647.59
572000               3609.33
576000               3674.35
580000               3655.14
584000               3692.28
588000               3703.98
592000               3911.97
596000               3669.88
600000               3696.15
604000               3690.89
608000               3720.73
612000               3814.84
616000               3754.95
620000               3778.33
624000               3729.28
628000               3831.86
632000               3817.77
636000               3850.33
640000               3810.82
644000               3880.16
648000               3838.75
652000               3883.62
656000               3872.43
660000               3897.44
664000               3854.12
668000               3862.32
672000               3990.69
676000               4021.09
680000               3901.29
684000               3924.89
688000               3902.38
692000               3934.33
696000               3947.83
700000               4033.36
704000               3992.55
708000               3964.36
712000               3990.59
716000               4003.46
720000               3989.02
724000               4052.07
728000               3994.21
732000               4065.51
736000               4009.35
740000               4016.86
744000               3920.81
748000               3993.57
752000               4019.68
756000               4002.47
760000               4001.96
764000               3995.43
768000               4052.24
772000               4011.56
776000               4125.94
780000               4030.51
784000               4035.96
788000               4111.37
792000               4060.88
796000               4110.22
800000               4107.35
804000               4099.06
808000               4138.86
812000               4199.86
816000               4173.90
820000               4179.27
824000               4194.25
828000               4252.38
832000               4202.63
836000               4209.63
840000               4167.71
844000               4155.94
848000               4165.67
852000               4264.68
856000               4266.61
860000               4207.94
864000               4193.81
868000               4216.94
872000               4261.16
876000               4406.40
880000               4254.44
884000               4270.39
888000               4259.61
892000               4267.08
896000               4285.69
900000               4468.38
904000               4381.24
908000               4469.38
912000               4397.52
916000               4389.12
920000               4403.22
924000               4303.02
928000               4429.10
932000               4391.72
936000               4476.11
940000               4532.00
944000               4378.62
948000               4421.35
952000               4460.54
956000               4414.54
960000               4506.50
964000               4485.92
968000               4558.88
972000               4385.60
976000               4341.86
980000               4335.28
984000               4408.49
988000               4419.43
992000               4476.94
996000               4488.18
1000000              4552.86
1004000              4562.18
1008000              4744.76
1012000              4539.83
1016000              4723.78
1020000              4610.99
1024000              4687.95
