# OSU MPI Latency Test v5.7
# Size          Latency (us)
0                       0.35
1                       0.45
2                       0.46
4                       0.41
8                       0.33
16                      0.35
32                      0.34
64                      0.36
128                     0.41
256                     0.44
512                     0.58
1024                    0.74
2048                    0.91
4096                    3.75
8192                    4.33
16384                   5.49
32768                   7.32
65536                  11.63
131072                 20.81
262144                 42.56
524288                 80.84
1048576               157.39
2097152               443.02
4194304              1174.07
8388608              2909.61
16777216             5138.57
33554432             9692.26
