
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   22.59
8000                   32.22
12000                  92.62
16000                  96.24
20000                  99.47
24000                 100.98
28000                 102.48
32000                 105.05
36000                 253.53
40000                 113.38
44000                 119.45
48000                 123.28
52000                 126.30
56000                 128.73
60000                 141.29
64000                 155.66
68000                 139.80
72000                 141.91
76000                 144.40
80000                 146.85
84000                 149.66
88000                 153.51
92000                 155.22
96000                 156.47
100000                161.18
104000                163.81
108000                165.62
112000                169.45
116000                172.19
120000                175.66
124000                179.77
128000                183.56
132000                188.23
136000                186.25
140000                192.43
144000                300.58
148000                201.92
152000                203.00
156000                205.67
160000                209.52
164000                212.38
168000                213.64
172000                215.44
176000                218.58
180000                221.81
184000                272.98
188000                226.88
192000                232.04
196000                456.69
200000                458.00
204000                476.71
208000                466.10
212000                466.60
216000                491.05
220000                477.06
224000                491.02
228000                494.87
232000                498.20
236000                627.23
240000                574.31
244000                578.77
248000                613.29
252000                545.78
256000                553.42
260000                632.30
264000                560.79
268000                540.86
272000                638.74
276000                555.66
280000                556.91
284000                555.87
288000                561.16
292000                591.84
296000                598.00
300000                616.94
304000                623.14
308000                667.57
312000                629.33
316000                630.97
320000                636.81
324000                711.98
328000                626.60
332000                628.23
336000                641.00
340000                641.38
344000                639.48
348000                647.13
352000                713.37
356000                659.95
360000                667.17
364000                673.39
368000                682.98
372000                686.79
376000                807.31
380000                712.90
384000                720.04
388000                735.51
392000                718.13
396000                720.82
400000                742.06
404000                735.35
408000                741.92
412000                749.75
416000                768.92
420000                765.88
424000                771.52
428000                777.08
432000                785.36
436000                792.67
440000                807.65
444000                825.43
448000                814.11
452000                839.58
456000                827.47
460000                829.61
464000                845.96
468000                846.20
472000                905.31
476000                862.18
480000                866.09
484000                881.19
488000                896.69
492000                889.50
496000                896.59
500000                902.70
504000               1019.85
508000               1009.37
512000                956.12
516000                930.40
520000                945.49
524000                979.08
528000                950.13
532000               1041.19
536000                968.99
540000               1007.84
544000                988.34
548000                935.64
552000                733.30
556000                739.31
560000                745.47
564000                759.41
568000               1047.85
572000                869.97
576000                916.57
580000                768.75
584000                770.62
588000                877.70
592000                809.00
596000                965.43
600000               1062.62
604000                814.77
608000               1035.21
612000                832.73
616000                823.63
620000                824.11
624000                825.20
628000               1047.99
632000                851.59
636000                840.26
640000                839.47
644000                851.52
648000                983.34
652000               1080.33
656000                882.08
660000                898.54
664000                907.69
668000                981.70
672000                905.03
676000                901.45
680000                918.08
684000               1113.21
688000               1180.47
692000                937.75
696000               1165.80
700000               1248.15
704000               1390.51
708000               1397.28
712000               1335.98
716000               1384.71
720000               1289.29
724000               1416.95
728000                959.32
732000               1150.78
736000               1329.90
740000               1271.17
744000               1030.53
748000               1315.10
752000               1326.42
756000               1151.62
760000               1094.21
764000               1164.69
768000               1020.07
772000               1262.45
776000               1292.83
780000               1050.11
784000               1070.69
788000               1065.47
792000               1344.73
796000               1088.71
800000               1085.79
804000               1092.51
808000               1610.40
812000               1512.55
816000               1387.21
820000               1106.18
824000               1248.15
828000               1120.25
832000               1111.69
836000               1714.28
840000               1665.30
844000               1516.97
848000               1173.69
852000               1388.29
856000               1495.25
860000               1405.70
864000               1353.71
868000               1286.11
872000               1257.02
876000               1396.92
880000               1735.24
884000               1630.20
888000               1633.07
892000               1327.80
896000               1448.26
900000               1427.31
904000               1215.00
908000               1641.88
912000               1426.56
916000               1603.39
920000               1404.80
924000               1358.50
928000               1488.17
932000               1936.27
936000               1318.19
940000               1603.99
944000               1581.36
948000               1579.68
952000               1792.45
956000               1742.88
960000               1805.92
964000               1805.90
968000               1834.68
972000               1894.05
976000               1773.09
980000               1844.41
984000               1916.27
988000               1687.77
992000               1407.41
996000               1393.75
1000000              1925.20
1004000              1869.33
1008000              1868.08
1012000              1937.97
1016000              1553.92
1020000              1478.92
1024000              1644.97
