
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       8.07
8                       7.22
16                      7.30
32                      7.37
64                     16.21
128                    10.23
256                    10.52
512                    11.20
1024                   12.83
2048                   15.38
4096                   20.70
8192                   34.42
16384                  99.75
32768                 118.41
65536                 132.85
131072                183.12
262144                427.11
524288                804.68
1048576              1534.20
2097152              3189.69
4194304              4994.78
8388608             13699.52
16777216            28839.06
33554432            73253.32
67108864           139357.78
134217728          267776.94
268435456          541017.58
536870912         1082698.50
