
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              1308.20
41000000            70888.89
81000000           125220.04
121000000          189090.41
161000000          245292.85
201000000          307099.07
241000000          374649.39
281000000          433500.17
321000000          506789.33
361000000          557032.71
401000000          619634.86
441000000          684472.43
481000000          770180.21
521000000          792176.24
561000000          880259.25
601000000          926719.75
641000000          996164.12
681000000         1082740.59
721000000         1169566.03
761000000         1233067.28
801000000         1335095.24
841000000         1412199.47
881000000         1465445.47
921000000         1584644.80
961000000         1597370.91
1001000000        1708468.46
