
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000               389.60
41000000            37164.23
81000000            69140.03
121000000          104119.26
161000000          136274.90
201000000          172730.03
241000000          207093.41
281000000          242588.66
321000000          279599.94
361000000          316092.46
401000000          347914.23
441000000          374964.77
481000000          411982.21
521000000          447520.89
561000000          504679.74
601000000          523080.74
641000000          562130.53
681000000          605592.85
721000000          636927.04
761000000          657642.65
801000000          706855.57
841000000          741490.56
881000000          784109.61
921000000          817800.36
961000000          861039.05
1001000000         943434.83
