
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   16.42
8000                   23.90
12000                  48.38
16000                  52.16
20000                  55.59
24000                  57.82
28000                  62.31
32000                  65.06
36000                  67.40
40000                  69.57
44000                  71.69
48000                  76.71
52000                  78.15
56000                  78.79
60000                  80.86
64000                  83.12
68000                  88.07
72000                  90.24
76000                  92.73
80000                  95.33
84000                  97.69
88000                 102.47
92000                 103.14
96000                 106.18
100000                208.82
104000                210.60
108000                213.30
112000                217.55
116000                223.44
120000                229.59
124000                233.61
128000                293.62
132000                245.58
136000                247.95
140000                251.00
144000                254.40
148000                261.47
152000                267.41
156000                306.46
160000                316.71
164000                289.10
168000                287.32
172000                289.55
176000                289.60
180000                323.80
184000                302.50
188000                317.42
192000                314.44
196000                316.29
200000                339.96
204000                346.74
208000                376.88
212000                380.79
216000                390.60
220000                352.20
224000                353.74
228000                359.47
232000                365.03
236000                362.11
240000                364.70
244000                368.35
248000                371.34
252000                381.03
256000                442.41
260000                431.58
264000                390.91
268000                400.60
272000                402.47
276000                452.15
280000                412.45
284000                417.30
288000                416.62
292000                425.37
296000                490.46
300000                456.73
304000                445.87
308000                525.03
312000                531.52
316000                462.52
320000                510.47
324000                462.35
328000                500.72
332000                468.61
336000                474.17
340000                481.51
344000                515.42
348000                487.91
352000                486.58
356000                496.40
360000                498.59
364000                505.43
368000                508.66
372000                512.48
376000                539.56
380000                536.37
384000                528.72
388000                531.92
392000                530.68
396000                546.11
400000                542.96
404000                546.59
408000                581.32
412000                553.10
416000                577.52
420000                651.12
424000                568.16
428000                575.74
432000                577.18
436000                676.74
440000                592.78
444000                616.47
448000                621.99
452000                612.31
456000                604.94
460000                615.12
464000                614.31
468000                664.50
472000                727.77
476000                640.88
480000                631.24
484000                642.50
488000                645.94
492000                649.61
496000                659.18
500000                655.86
504000                766.08
508000                693.17
512000                676.50
516000                678.06
520000                682.01
524000                684.31
528000                694.39
532000                699.88
536000                801.87
540000                706.98
544000                712.75
548000                720.72
552000                722.95
556000                729.31
560000                857.92
564000                871.82
568000                759.52
572000                769.41
576000                766.45
580000                762.16
584000                758.30
588000                766.75
592000                781.36
596000                783.77
600000                788.46
604000                798.53
608000                829.02
612000                841.50
616000                811.22
620000                811.79
624000                819.14
628000                907.71
632000                826.96
636000                836.55
640000                843.77
644000                846.76
648000                858.06
652000                855.86
656000                950.43
660000                874.23
664000                880.91
668000                877.49
672000                880.43
676000                885.41
680000                891.18
684000                890.61
688000                900.94
692000                906.09
696000                968.47
700000                983.11
704000                924.71
708000                928.68
712000                932.74
716000                942.45
720000                944.68
724000                943.16
728000                981.04
732000               1064.12
736000                983.33
740000               1002.68
744000                995.88
748000                972.12
752000               1057.97
756000                992.75
760000               1000.95
764000               1001.22
768000                989.15
772000               1007.34
776000               1073.15
780000               1037.06
784000               1032.44
788000               1029.64
792000               1040.13
796000               1045.62
800000               1065.60
804000               1149.24
808000               1052.21
812000               1069.25
816000               1100.56
820000               1084.17
824000               1087.80
828000               1089.40
832000               1096.51
836000               1168.90
840000               1103.82
844000               1126.32
848000               1147.49
852000               1130.14
856000               1130.96
860000               1177.71
864000               1127.91
868000               1143.81
872000               1142.61
876000               1150.44
880000               1153.34
884000               1192.35
888000               1168.07
892000               1166.01
896000               1174.62
900000                755.43
904000                767.83
908000                872.35
912000               1206.03
916000               1206.40
920000               1281.62
924000               1231.14
928000               1270.34
932000               1227.74
936000               1240.44
940000               1238.48
944000               1245.27
948000               1256.92
952000               1298.81
956000               1261.06
960000               1264.06
964000               1271.39
968000               1279.13
972000               1273.72
976000               1289.33
980000               1384.09
984000               1331.15
988000               1304.72
992000               1310.45
996000               1323.32
1000000              1323.53
1004000              1335.24
1008000              1372.60
1012000              1451.98
1016000              1340.37
1020000              1349.69
1024000              1334.23
