
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                     161.44
8                     209.08
16                    116.66
32                    174.57
64                    117.64
128                   124.49
256                   181.26
512                   171.17
1024                  167.64
2048                  190.56
4096                  234.35
8192                  262.85
16384                1443.31
32768                1762.58
65536                1952.34
131072               2255.29
262144               2838.63
524288               3796.83
1048576              8056.57
2097152             11742.21
4194304             18638.69
8388608             35707.69
16777216            59767.32
33554432           122888.06
67108864           246825.82
134217728          488385.64
268435456          951945.07
536870912         2006132.17
