
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                  206.79
8000                  266.27
12000                1366.09
16000                1399.51
20000                1533.31
24000                1638.40
28000                1737.53
32000                1662.56
36000                1742.79
40000                1883.54
44000                1726.66
48000                1854.79
52000                1930.41
56000                2139.29
60000                1935.16
64000                1903.14
68000                1905.55
72000                2184.70
76000                2018.49
80000                2023.91
84000                2071.19
88000                2254.34
92000                1975.59
96000                2011.19
100000               2225.23
104000               2515.34
108000               2101.30
112000               2037.44
116000               2352.42
120000               2364.40
124000               2151.00
128000               2398.59
132000               2114.04
136000               2313.93
140000               2162.87
144000               2474.04
148000               2196.99
152000               2200.60
156000               2172.97
160000               2164.89
164000               2412.09
168000               2305.94
172000               2566.28
176000               2228.21
180000               2190.47
184000               2287.08
188000               2423.72
192000               2334.48
196000               2291.89
200000               2273.13
204000               2333.59
208000               2347.83
212000               2423.80
216000               2453.75
220000               2323.83
224000               2343.31
228000               2382.35
232000               2449.55
236000               2513.12
240000               2499.03
244000               2505.85
248000               2699.64
252000               2538.75
256000               2532.51
260000               2545.83
264000               2780.34
268000               2557.10
272000               2638.85
276000               2822.70
280000               2601.22
284000               2616.86
288000               2981.08
292000               2817.94
296000               2693.03
300000               2971.80
304000               2896.89
308000               2793.22
312000               3170.51
316000               2896.86
320000               2953.45
324000               3215.64
328000               2930.73
332000               3016.03
336000               2806.82
340000               2867.65
344000               2969.81
348000               3270.90
352000               3254.22
356000               3281.58
360000               2947.19
364000               3215.87
368000               3080.29
372000               3206.95
376000               2950.34
380000               3159.93
384000               3014.70
388000               3169.45
392000               3066.82
396000               3088.29
400000               3242.65
404000               3069.96
408000               3099.27
412000               3293.57
416000               3215.21
420000               3118.51
424000               3085.48
428000               3324.61
432000               3102.31
436000               3568.60
440000               3362.19
444000               3229.34
448000               3538.70
452000               3378.16
456000               3538.42
460000               3284.55
464000               3198.44
468000               3513.03
472000               3238.46
476000               3667.82
480000               3695.45
484000               3272.64
488000               3648.53
492000               4154.26
496000               3880.28
500000               3470.22
504000               3597.90
508000               3572.35
512000               3849.63
516000               3731.29
520000               3518.85
524000               3963.17
528000               3654.20
532000               3713.62
536000               3577.59
540000               3522.86
544000               3505.88
548000               3540.94
552000               3644.41
556000               3720.42
560000               3881.97
564000               3707.45
568000               3915.16
572000               4000.29
576000               3703.13
580000               3622.37
584000               3931.01
588000               3687.19
592000               3875.41
596000               3882.12
600000               4002.18
604000               3939.11
608000               4068.79
612000               4162.41
616000               3808.38
620000               4105.91
624000               3928.20
628000               3961.14
632000               4183.64
636000               4505.32
640000               3971.86
644000               4280.48
648000               4413.94
652000               3928.57
656000               3908.43
660000               4957.15
664000               4177.74
668000               3863.33
672000               4113.83
676000               4227.12
680000               4083.24
684000               4055.67
688000               4244.80
692000               3954.74
696000               3904.84
700000               3906.03
704000               3918.83
708000               4353.69
712000               3941.84
716000               4120.37
720000               4515.57
724000               4269.85
728000               4311.74
732000               3997.36
736000               4219.46
740000               4123.25
744000               4208.17
748000               4255.95
752000               4772.34
756000               4705.99
760000               4315.22
764000               4476.00
768000               4353.03
772000               4584.56
776000               4373.88
780000               4419.80
784000               4664.97
788000               4633.39
792000               4457.33
796000               4166.82
800000               4121.21
804000               4185.08
808000               4149.56
812000               4302.74
816000               4257.63
820000               4324.82
824000               4377.91
828000               4287.81
832000               4369.15
836000               4270.05
840000               4270.70
844000               4433.19
848000               4550.19
852000               4541.61
856000               4399.64
860000               4701.11
864000               4319.14
868000               4574.78
872000               4302.99
876000               4865.97
880000               4491.07
884000               5217.84
888000               4729.64
892000               4887.80
896000               4662.32
900000               4636.08
904000               4790.47
908000               4512.51
912000               4743.66
916000               4881.97
920000               4618.77
924000               4539.72
928000               4689.55
932000               4354.45
936000               4482.18
940000               4559.06
944000               4387.65
948000               4629.37
952000               4679.55
956000               4520.21
960000               4765.24
964000               4770.47
968000               4618.61
972000               4720.03
976000               4699.97
980000               4660.57
984000               5050.29
988000               4934.59
992000               5329.36
996000               4742.96
1000000              5331.23
1004000              5016.61
1008000              4693.12
1012000              5166.39
1016000              4613.74
1020000              4830.62
1024000              4838.20
