
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000              5409.59
41000000           154709.90
81000000           315434.45
121000000          462907.61
161000000          602549.99
201000000          839371.81
241000000          913235.30
281000000         1069469.77
321000000         1225893.36
361000000         1364297.25
401000000         1500875.59
441000000         1697221.86
481000000         1836384.98
521000000         1998088.98
561000000         2203835.32
601000000         2266403.53
641000000         2439163.17
681000000         2569925.22
721000000         2734042.16
761000000         2838704.31
801000000         3068934.68
841000000         3164706.99
881000000         3308744.83
921000000         3554610.26
961000000         3709754.84
1001000000        3791314.62
