
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4000                   11.95
8000                   16.24
12000                  26.57
16000                  30.05
20000                  33.33
24000                  37.13
28000                  37.21
32000                  38.78
36000                  41.63
40000                  44.17
44000                  46.94
48000                  49.43
52000                  74.41
56000                  75.22
60000                  78.32
64000                  80.83
68000                  83.68
72000                  86.38
76000                  88.52
80000                  90.94
84000                  95.81
88000                 151.51
92000                 115.36
96000                  92.92
100000                 91.17
104000                 92.29
108000                 93.40
112000                 95.23
116000                 98.69
120000                 98.89
124000                104.86
128000                103.16
132000                106.62
136000                106.98
140000                109.20
144000                109.77
148000                163.98
152000                153.46
156000                122.76
160000                144.16
164000                148.06
168000                123.35
172000                122.58
176000                122.31
180000                127.33
184000                127.72
188000                127.80
192000                130.12
196000                132.03
200000                134.60
204000                134.68
208000                135.89
212000                283.94
216000                188.43
220000                284.04
224000                192.43
228000                151.71
232000                159.06
236000                199.94
240000                193.67
244000                167.09
248000                172.49
252000                168.71
256000                166.31
260000                333.09
264000                208.71
268000                168.68
272000                169.35
276000                171.62
280000                173.17
284000                177.11
288000                178.57
292000                179.73
296000                183.60
300000                186.65
304000                285.44
308000                233.95
312000                192.22
316000                192.40
320000                196.59
324000                197.95
328000                200.50
332000                203.18
336000                203.18
340000                205.46
344000                342.53
348000                242.59
352000                238.86
356000                374.60
360000                258.40
364000                217.63
368000                221.33
372000                222.78
376000                242.48
380000                225.94
384000                314.65
388000                251.55
392000                232.90
396000                236.56
400000                236.82
404000                244.54
408000                394.64
412000                339.59
416000                303.38
420000                261.01
424000                259.65
428000                252.55
432000                256.15
436000                259.30
440000                260.62
444000                415.10
448000                268.81
452000                270.46
456000                425.92
460000                340.66
464000                276.44
468000                294.64
472000                310.81
476000                279.95
480000                302.49
484000                315.30
488000                353.43
492000                289.57
496000                295.30
500000                341.45
504000                296.94
508000                302.83
512000                296.77
516000                356.65
520000                306.88
524000                306.51
528000                316.60
532000                423.77
536000                382.27
540000                348.57
544000                346.31
548000                372.23
552000                325.53
556000                326.00
560000                327.66
564000                332.69
568000                333.25
572000                334.21
576000                338.26
580000                343.57
584000                343.02
588000                346.28
592000                667.81
596000                364.98
600000                347.33
604000                350.51
608000                352.13
612000                511.14
616000                355.31
620000                360.96
624000                365.70
628000                361.15
632000                563.08
636000                421.54
640000                394.55
644000                401.08
648000                389.33
652000                381.75
656000                377.14
660000                381.70
664000                384.77
668000                386.67
672000                383.57
676000                385.08
680000                392.28
684000                391.92
688000                397.47
692000                394.12
696000                397.82
700000                397.20
704000                400.45
708000                408.83
712000                404.04
716000                405.63
720000                408.94
724000                419.90
728000                415.96
732000                420.92
736000                443.31
740000                458.81
744000                437.27
748000                426.19
752000                428.47
756000                427.54
760000                434.81
764000                433.33
768000                431.08
772000                526.94
776000                438.65
780000                444.65
784000                446.05
788000                445.06
792000                453.77
796000                869.25
800000                465.63
804000                457.86
808000                460.06
812000                458.72
816000                475.69
820000                488.19
824000                495.55
828000                478.46
832000                472.92
836000                477.33
840000                477.66
844000                482.75
848000                517.03
852000                486.51
856000                488.88
860000                486.11
864000                487.35
868000                489.71
872000                494.65
876000                493.05
880000                494.91
884000                495.76
888000                514.77
892000                500.13
896000                513.56
900000                532.51
904000                906.04
908000                900.23
912000                907.40
916000                906.07
920000                904.75
924000                917.45
928000                911.49
932000                920.58
936000                822.75
940000                544.31
944000                616.06
948000                559.79
952000                551.68
956000                529.13
960000                532.66
964000                529.15
968000                530.44
972000                535.69
976000                535.81
980000                535.24
984000                538.57
988000                535.63
992000                539.08
996000                546.95
1000000               542.95
1004000               553.46
1008000              1105.10
1012000               623.73
1016000               658.57
1020000               603.98
1024000               561.93
