
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
1000000             55751.16
5000000            101869.10
9000000            149097.17
13000000           212903.58
17000000           237234.95
21000000           384154.37
25000000           453451.35
29000000           501198.74
33000000           631171.15
37000000           604046.86
41000000           556148.64
45000000           912399.93
49000000          1030964.67
53000000          1047975.83
57000000          1269947.29
61000000          1215876.11
65000000          1381461.83
69000000          1412740.33
73000000          1412718.10
77000000          1358099.69
81000000          1554140.17
85000000          1613239.93
89000000          1469354.91
93000000          1663038.20
97000000          1639191.21
101000000         1780728.98
105000000         1868102.54
109000000         1853350.34
113000000         2042936.62
117000000         2133287.62
121000000         2045664.72
125000000         1471970.03
129000000         1752100.52
133000000         1685371.36
137000000         1657205.89
141000000         1340769.81
145000000         1363875.13
149000000         1507152.73
153000000         1445390.61
157000000         1519334.40
161000000         1559848.69
165000000         1628484.77
169000000         1647268.35
173000000         2061230.78
177000000         2174802.26
181000000         2313214.41
185000000         2340645.19
189000000         2677346.81
193000000         2563604.40
197000000         2574984.74
201000000         2966717.46
205000000         2768532.33
209000000         2758802.04
213000000         2869387.35
217000000         2798361.82
221000000         2489176.19
225000000         2555171.48
229000000         2482080.80
233000000         2778202.75
237000000         2668736.50
241000000         2633111.38
245000000         2770015.36
249000000         2630480.87
253000000         2532169.63
257000000         2465292.11
261000000         2789181.18
265000000         3188740.09
269000000         2758811.55
273000000         3076910.00
277000000         3247680.61
281000000         3028001.41
285000000         3168069.30
289000000         3204174.98
293000000         3105770.88
297000000         3231802.97
301000000         3104379.27
305000000         2724642.79
309000000         2804038.31
313000000         2785469.74
317000000         3108023.44
321000000         2845208.37
325000000         2991647.44
329000000         3040568.53
333000000         3495222.68
337000000         4523432.93
341000000         4429621.38
345000000         4149860.77
349000000         4044324.15
353000000         3688584.01
357000000         4046752.38
361000000         3776315.54
365000000         3625488.20
369000000         3716076.10
373000000         3997169.30
377000000         3781211.69
381000000         4067486.21
385000000         4001964.12
389000000         3516017.75
393000000         3556775.99
397000000         3721422.61
401000000         3598011.13
405000000         4010870.25
409000000         3759940.60
413000000         3891802.76
417000000         4036161.79
421000000         4024550.60
425000000         4093421.02
429000000         4213154.85
433000000         4525646.81
437000000         4273756.49
441000000         4552403.58
445000000         4513870.16
449000000         4878349.87
453000000         4956208.54
457000000         4514234.91
461000000         4698223.96
465000000         4938160.95
469000000         4795802.21
473000000         4927046.22
477000000         4694283.56
481000000         4921738.19
485000000         4736885.82
489000000         4896967.92
493000000         4778711.72
497000000         4716392.84
501000000         5040192.62
505000000         5150813.72
509000000         4991146.36
513000000         4983126.28
517000000         5004933.44
521000000         5780875.48
525000000         5653944.66
529000000         5530960.90
533000000         5973516.22
537000000         5960266.57
541000000         5995012.37
545000000         6126322.62
549000000         5887535.77
553000000         6186218.20
557000000         5991070.04
561000000         6246718.75
565000000         6444706.05
569000000         6393056.72
573000000         6364909.15
577000000         6472836.64
581000000         7100775.12
585000000         8257214.18
589000000         8362441.42
593000000         8964929.75
597000000         8653026.49
601000000         8465315.94
605000000         8515142.94
609000000         8642436.51
613000000         8489429.54
617000000         8713567.05
621000000         8482695.51
625000000         6974579.05
629000000         7066432.52
633000000         6898718.44
637000000         7180084.08
641000000         6872697.56
645000000         7118793.27
649000000         7191369.63
653000000         7279746.60
657000000         7138774.15
661000000         7301393.32
665000000         7323344.11
669000000         7522754.97
673000000         7649928.09
677000000         7672539.81
681000000         7621423.85
685000000         7745039.28
689000000         7899304.98
693000000         7706725.06
697000000         7653386.30
