
# OSU MPI Allreduce Latency Test v5.7
# Size       Avg Latency(us)
4                       7.67
8                       6.82
16                      6.89
32                      6.92
64                      7.08
128                     9.17
256                     9.56
512                    18.64
1024                   12.56
2048                   15.54
4096                   26.32
8192                   36.36
16384                 105.58
32768                 156.80
65536                 190.66
131072                542.48
262144                778.04
524288               1025.46
1048576              1541.51
2097152              2536.89
4194304              5187.03
8388608             10420.17
16777216            25231.42
33554432            50961.29
67108864           104217.61
134217728          205038.65
268435456          404433.82
536870912          933774.20
